rollout/ep_rew_mean,curriculum/eff_scale,reward_terms/residual_rate,rollout/ep_len_mean,time/iterations,reward_terms/residual,reward_terms/upright,reward_terms/foot_slip,reward_terms/angmom,reward_terms/height,reward_terms/phase_contact,reward_terms/step_rate,ankle/ankle_defl_peak,ankle/ankle_spring_energy_peak,reward_terms/stop,curriculum/sprint_dist_m,ankle/ankle_spring_trq_peak,curriculum/ctrl_drop_prob,reward_terms/foot_ahead,reward_terms/lat_vel,reward_terms/time,curriculum/stance_ratio,reward_terms/duty_sym,curriculum/ent_coef,time/fps,reward_terms/vz,reward_terms/ang_xy,time/time_elapsed,reward_terms/air_time,reward_terms/clearance,reward_terms/motor_vel,reward_terms/stance,reward_terms/hip_roll,reward_terms/coef_rate,curriculum/ctrl_jitter_ms,reward_terms/alive,reward_terms/energy,reward_terms/torque,reward_terms/fwd_speed,reward_terms/action_rate,reward_terms/assist_pen,reward_terms/stance_time,time/total_timesteps,reward_terms/overrun,train/entropy_loss,train/clip_fraction,train/approx_kl,train/n_updates,train/clip_range,train/std,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/learning_rate,train/loss
-157.91795334,0.24166425,0.0,233.5,1,-0.10960156016406232,-0.8696052086875002,-0.22758905510473312,-0.26820210455681504,-0.06987219822287476,-0.5763358665295013,-0.004286024305555585,0.13670683903788983,3.4130433164434155,0.0,61.2496375,47.84739366326144,0.0,0.0,-3.568516022924813e-08,-0.5,0.5944172225000001,0.0,0.01,2916,-0.1783155085451343,-0.12746867958257838,6,0.0003211796801123354,0.06628571991348906,-0.0002838080885515841,-0.3509239638145621,-0.22436646515667924,-0.7686877764099957,0.0,0.0,-0.0018705072796602665,-0.026013756505688497,-1.7604280649560058,-0.03169379795688177,0.0,-0.0009638045513485041,58017852,0.0,,,,,,,,,,,
-160.55442831000002,0.24174105,0.0,244.0,2,-0.11002925010551173,-1.0183487214264744,-0.19959472923698227,-0.2767960080328958,-0.08660103843831553,-0.5349394902529369,-0.004047309027777806,0.11418377144120001,2.440813987251205,0.0,61.2611575,39.96432000442,0.0,0.0,-3.896550791547565e-08,-0.5,0.5943995585,0.0,0.01,3314,-0.20818493396153545,-0.11576079108625995,11,0.00041558048299824196,0.08122874947915412,-0.0002936612621736785,-0.3118093536520902,-0.24696073154632212,-0.753046125314456,0.0,0.0,-0.0019118185975078286,-0.024883459207036256,-1.9896543561903992,-0.03020834203408797,0.0,-0.0008520429708167083,58036284,0.0,-34.083465576171875,0.216796875,0.027186785,12588,0.2,1.002532958984375,-0.014305071416310966,0.001491801778320223,0.8654147386550903,0.00027099107399999997,-0.3644528388977051
-160.33224443,0.24181785,0.0,243.18,3,-0.10988684006147281,-1.0394547498505071,-0.19383731504612328,-0.29183468673490787,-0.09003561579638067,-0.5242713950213085,-0.004134114583333362,0.11651019331302923,2.6312475303742247,0.0,61.2726775,40.77856765956023,0.0,0.0,-4.147116851430152e-08,-0.5,0.5943818945,0.0,0.01,3557,-0.219304488309155,-0.11799349950850242,15,0.0003613271207238237,0.08337698357437266,-0.00029464580832159017,-0.2978695393481114,-0.2445692517136538,-0.7599033399633156,0.0,0.0,-0.0019753746733829902,-0.025555205484603705,-2.023054794828269,-0.030843750709194998,0.0,-0.0006355724698450002,58054716,0.0,-34.079695320129396,0.1846923828125,0.017370453,12592,0.2,1.0022120475769043,-0.01075102515751496,0.0001922380157338921,0.9738476276397705,0.000270981858,-0.35805052518844604
-160.60834902,0.24189465,0.0,244.34,4,-0.1099851768219449,-1.021297684009671,-0.19699232833227567,-0.28567724468940486,-0.09068946202998623,-0.522268421637713,-0.004014756944444472,0.1303616206073881,2.9822060419456036,0.0,61.2841975,45.62656721258583,0.0,0.0,-4.2793341378825524e-08,-0.5,0.5943642305,0.0,0.01,3688,-0.21725234305060973,-0.11653566745535279,19,0.0002826596998299162,0.08145953532427697,-0.0002953046666446429,-0.28359628428772177,-0.24417252149425625,-0.7611776981420509,0.0,0.0,-0.0019435996360566733,-0.025719205422763857,-2.001471063684788,-0.030461850340957844,0.0,-0.0008607240354952713,58073148,0.0,-34.07607879638672,0.1930419921875,0.021015229,12596,0.2,1.0019493103027344,-0.01102622002363205,0.00010299546229362023,0.9836353063583374,0.000270972642,-0.3666044771671295
-159.31308584,0.24197145,0.0,239.07,5,-0.10988189051674084,-0.9798996564056606,-0.22049308844718,-0.2763306958236353,-0.08362072623266822,-0.5578409719209407,-0.004112413194444473,0.13034434594670097,3.0518778241953153,0.0,61.2957175,45.62052108134534,0.0,0.0,-3.891928912240965e-08,-0.5,0.5943465665000001,0.0,0.01,3768,-0.20730665057491673,-0.1147265674993356,24,0.00037760316950476006,0.0767753969010313,-0.0002892618677096041,-0.30396100397563797,-0.23123078159562796,-0.7618227183069711,0.0,0.0,-0.001867865806731019,-0.024234665626845158,-1.9452615539893587,-0.031061070763718987,0.0,-0.0021949461887642327,58091580,0.0,-34.082665061950685,0.2050537109375,0.020003777,12600,0.2,1.0027656555175781,-0.010235012136399746,9.72031459241407e-05,0.9846019744873047,0.000270963426,-0.36231327056884766
-160.85741883999998,0.24204825,0.0,245.24,6,-0.10986633984183089,-0.9951321304464305,-0.2273419631500088,-0.2803670582141509,-0.0881050815730289,-0.5408284551859475,-0.004090711805555584,0.12352065061267649,2.7462989760549137,0.0,61.3072375,43.23222771443677,0.0,0.0,-4.145327818776634e-08,-0.5,0.5943289025,0.0,0.01,3829,-0.21137940618068055,-0.11909899914894886,28,0.0003396257816348225,0.07852703169157108,-0.0002936838284417336,-0.2935422158447039,-0.24317120935101302,-0.7601194540494611,0.0,0.0,-0.0019375120809706334,-0.025154359577206385,-1.9801583833134728,-0.0306907773295869,0.0,-0.0009810305087335615,58110012,0.0,-34.09043197631836,0.17708740234375,0.018585708,12604,0.2,1.0031940937042236,-0.01041460013948381,0.00012321075992076657,0.9794651865959167,0.00027095421,-0.36180344223976135
-161.45593501000002,0.24212505,0.0,247.65,7,-0.11003284675244555,-0.9905409107918283,-0.2336468053160855,-0.27456421935310454,-0.08470148607119972,-0.5485708587067039,-0.004416232638888923,0.11838426745923153,2.452865773843032,0.0,61.318757500000004,41.43449361073103,0.0,0.0,-4.20432814645867e-08,-0.5,0.5943112385,0.0,0.01,3869,-0.20326546736050688,-0.11761425317817384,33,0.0003244348141985635,0.07662863044258604,-0.00029298745772935266,-0.29184753945339614,-0.2505253111977667,-0.766829199865488,0.0,0.0,-0.0019208152837767213,-0.025439888744507227,-1.9756125660595885,-0.03062425154710389,0.0,-0.0009952721189215987,58128444,0.0,-34.08515815734863,0.17452392578125,0.018473992,12608,0.2,1.0025995969772339,-0.009523146867286414,9.43666458624648e-05,0.9849847555160522,0.000270944994,-0.36053594946861267
-161.14798488,0.24220185,0.0,246.36,8,-0.10962945665503504,-0.9808306087657189,-0.23708763500397798,-0.27682813636949716,-0.08507762070057251,-0.552487648615423,-0.004394531250000032,0.1182897541004542,2.52132829730454,0.0,61.3302775,41.40141393515897,0.0,0.0,-4.0317998409560954e-08,-0.5,0.5942935745,0.0,0.01,3908,-0.20714162242513398,-0.1165412723853825,37,0.0003298602144544323,0.07720947939011233,-0.00029255732728458933,-0.311550675902202,-0.249351274970452,-0.7782767765607529,0.0,0.0,-0.001897333811144255,-0.025577732096036403,-1.9677239645231128,-0.031062182684477704,0.0,-0.0019269358260013785,58146876,0.0,-34.07461318969727,0.16387939453125,0.018107984,12612,0.2,1.0018421411514282,-0.011005109886173158,0.00010162124344788026,0.9832010865211487,0.00027093577799999996,-0.36046403646469116
-160.38947427,0.24227865,0.0,243.43,9,-0.10986689267676704,-0.9996012406432708,-0.18412573706791657,-0.2843433026707837,-0.08714621795964442,-0.5325130198835101,-0.004047309027777806,0.11611106931243786,2.561810302709221,0.0,61.3417975,40.63887425935325,0.0,0.0,-3.8952007105195546e-08,-0.5,0.5942759105000001,0.0,0.01,3935,-0.21330981009867162,-0.11934556256463306,42,0.00038302848891665536,0.08009135204301475,-0.0002936889296445537,-0.30821421649488856,-0.23835090378448662,-0.7678796618188333,0.0,0.0,-0.0019377051542810557,-0.0250785659460795,-1.975419460165905,-0.030442661960724253,0.0,-0.0011985861767445588,58165308,0.0,-34.07781639099121,0.193017578125,0.021712307,12616,0.2,1.0022348165512085,-0.011531485500745476,0.00013090570719214155,0.9816422462463379,0.000270926562,-0.3626299798488617
-161.07929848,0.24235545,0.0,246.11,10,-0.10973386258032565,-1.0105680074783443,-0.20819585416416617,-0.2897264398238204,-0.08720869102104196,-0.5368614752783449,-0.004177517361111141,0.12418829560538582,2.729833946377879,0.0,61.3533175,43.465903461885034,0.0,0.0,-4.14623367067539e-08,-0.5,0.5942582465,0.0,0.01,3959,-0.20877921109168285,-0.12311741839191256,46,0.0003531890785476814,0.08088271067123493,-0.000295729768141311,-0.30908404733069994,-0.2523665750502048,-0.7643934733468675,0.0,0.0,-0.0019950056021001104,-0.026545859659987393,-2.016503019874028,-0.03102809383343093,0.0,-0.0007356699659592576,58183740,0.0,-34.084886169433595,0.19251708984375,0.01946162,12620,0.2,1.0026867389678955,-0.012412821943871676,8.286387019325047e-05,0.9868440628051758,0.000270917346,-0.37118130922317505
-159.97475342,0.24243225,0.0,241.74,11,-0.10958573106754715,-0.9963995040886781,-0.20657890315660482,-0.29020269099550705,-0.08723687463379833,-0.5260671440505075,-0.004047309027777805,0.11999860709212215,2.7112253769542334,0.0,61.3648375,41.99951248224275,0.0,0.0,-4.139574488565049e-08,-0.5,0.5942405825,0.0,0.01,3980,-0.21391799972174289,-0.12196197774247954,50,0.0002978506575648983,0.07954294487022939,-0.00029262476733635213,-0.2944991836452406,-0.24331902804745673,-0.770207515238848,0.0,0.0,-0.0019202677413220166,-0.02569163486527938,-1.9767974430487496,-0.03137365188996066,0.0,-0.001623117765929136,58202172,0.0,-34.08495121002197,0.181640625,0.019986743,12624,0.2,1.0027332305908203,-0.011611430603079499,9.98910092675942e-05,0.9837303757667542,0.00027090813,-0.3582085072994232
