curriculum/ent_coef,reward_terms/coef_rate,reward_terms/torque,time/iterations,curriculum/sprint_dist_m,reward_terms/upright,reward_terms/air_time,reward_terms/foot_slip,reward_terms/stance_time,reward_terms/ang_xy,reward_terms/assist_pen,reward_terms/height,time/total_timesteps,rollout/ep_rew_mean,time/fps,reward_terms/lat_vel,time/time_elapsed,reward_terms/alive,reward_terms/motor_vel,reward_terms/hip_roll,reward_terms/energy,curriculum/ctrl_jitter_ms,reward_terms/fwd_speed,reward_terms/vz,curriculum/eff_scale,curriculum/stance_ratio,reward_terms/action_rate,reward_terms/foot_ahead,reward_terms/stop,curriculum/ctrl_drop_prob,reward_terms/residual,reward_terms/overrun,rollout/ep_len_mean,reward_terms/stance,reward_terms/phase_contact,reward_terms/time,reward_terms/clearance,reward_terms/angmom,train/entropy_loss,train/approx_kl,train/std,train/loss,train/clip_fraction,train/value_loss,train/clip_range,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/n_updates
0.01,-1.5078791015028103,0.0,1,25.0,-0.36082319101686217,0.0005886497739185062,-0.40967912082870783,-0.0012388726964774025,-0.33407143249863447,0.0,-0.03246163525491925,18432,-150.04383573563217,4423,-2.640022816559728e-08,4,0.0,0.0,-0.22962303357549377,0.0,0.0,-1.1383107575252474,-0.2546697365622969,0.0,0.65,-0.12070245194139134,0.0,0.0,0.0,-0.1041565258468708,0.0,200.6551724137931,-0.006593543343637253,-0.31557817088543066,-0.5,0.05954750589055058,-0.21334053575966,,,,,,,,,,,
0.01,-1.499369916155179,-3.275112981284385e-05,2,25.01152,-0.4350562272895697,0.0008968087721667769,-0.41182861081719024,-0.001197097695290318,-0.35036756569127875,0.0,-0.02949302921548454,36864,-148.05121319999998,4230,-2.5680490890706214e-08,8,0.0,-4.163972115769024e-07,-0.22192968546172437,-3.095130904470663e-06,0.0,-1.1171053925146681,-0.24706801223971608,7.68e-05,0.649982336,-0.12394123955661085,0.0,0.0,0.0,-0.10267958021155921,0.0,192.45,-0.010031894536645367,-0.3080245976415535,-0.5,0.056983148193350625,-0.19418191562679535,-34.06584205627441,0.011209337,1.000899076461792,50.03401565551758,0.1637939453125,284.28420753479,0.2,0.4049258828163147,0.00029995392,-0.0008573985425755382,7376
0.01,-1.4926689546517649,-6.141578784702233e-05,3,25.02304,-0.44760832132004097,0.0008344173709499753,-0.4312736585552399,-0.003536771180936032,-0.36795834717860115,0.0,-0.028021884985234106,55296,-148.53037733000002,4316,-2.920922338825992e-08,12,0.0,-8.384063187571164e-07,-0.22327766630513043,-6.161809272747748e-06,0.0,-1.0380750945753379,-0.250556406414809,0.0001536,0.6499646720000001,-0.1267222143702112,0.0,0.0,0.0,-0.10224908167671612,0.0,194.37,-0.005158044141596514,-0.33972285979221045,-0.5,0.055935893802106874,-0.19950039580272633,-34.05587463378906,0.008199753,1.0002845525741577,28.280351638793945,0.06826171875,151.54467849731446,0.2,0.8228123784065247,0.00029990784,-0.0032705370103940368,7380
0.01,-1.4454026540813176,-8.60137381475566e-05,4,25.03456,-0.47820539307566723,0.0009884969557687226,-0.4440870411766225,-0.0014472030775828494,-0.3491684384324546,0.0,-0.027614465809344325,73728,-148.16155172,4353,-2.8615346699503465e-08,16,0.0,-1.2133062813607724e-06,-0.21240011069104187,-8.903313378520656e-06,0.0,-1.052481706897672,-0.22796968727326433,0.0002304,0.649947008,-0.129359783982358,0.0,0.0,0.0,-0.10149913902669146,0.0,192.77,-0.003657659160269826,-0.3401601962996619,-0.5,0.056062836206493535,-0.19162531942218763,-34.056328010559085,0.008446498,1.0003228187561035,34.38209533691406,0.07510986328125,142.3856456756592,0.2,0.8856146335601807,0.00029986176,-0.00682570431381464,7384
0.01,-1.4168877871443526,-0.0001147656648804523,5,25.04608,-0.4406882164574242,0.00101833650842309,-0.44729290515356024,-0.0009303059907526606,-0.36050763416499765,0.0,-0.026910778099256325,92160,-146.13125544,4385,-3.084936609958756e-08,21,0.0,-1.6660619435464842e-06,-0.21663404998656524,-1.2076255879754096e-05,0.0,-1.0363964900679778,-0.22751473674712727,0.0003072,0.649929344,-0.13020264288573588,0.0,0.0,0.0,-0.10067290620633985,0.0,184.65,-0.00554268384494691,-0.36131802007618996,-0.5,0.059341914692648476,-0.1952220602170703,-34.057180404663086,0.007842154,1.0003843307495117,28.96050453186035,0.07791748046875,117.55178756713867,0.2,0.906609058380127,0.00029981568,-0.009428343968465924,7388
0.01,-1.3855726320630848,-0.00014849632904262542,6,25.0576,-0.45918037404616197,0.0013395168255859364,-0.4409563124770921,-0.0021708068250316298,-0.3385175538101687,0.0,-0.025518804757636966,110592,-149.21895082,4403,-3.232420330046944e-08,25,0.0,-2.0242752820546312e-06,-0.2237491175610753,-1.4990182284111046e-05,0.0,-0.8761434138106261,-0.2102379722374213,0.000384,0.64991168,-0.13039096530385003,0.0,0.0,0.0,-0.10077000894367573,0.0,197.71,-0.014233247138350398,-0.3686500727043336,-0.5,0.05813546579475188,-0.17534925978464808,-34.05779876708984,0.008337306,1.0003759860992432,34.21633529663086,0.06536865234375,125.63191833496094,0.2,0.9004873037338257,0.00029976959999999996,-0.010633977095130831,7392
0.01,-1.3726750115068216,-0.00017398958431395146,7,25.06912,-0.44522341794051923,0.0011490874910830623,-0.41812069169688554,-0.002807875757247934,-0.3397875435260726,0.0,-0.02492387286912777,129024,-149.44540543,4414,-3.283040340895809e-08,29,0.0,-2.526747703040025e-06,-0.2286656710703046,-1.82316281382724e-05,0.0,-0.901776786644834,-0.21712611020461442,0.0004608,0.6498940160000001,-0.13145004319612497,0.0,0.0,0.0,-0.1006612029150606,0.0,198.34,-0.012971563803524898,-0.3709009758433537,-0.5,0.05560817720882578,-0.19035101664933746,-34.05734348297119,0.010769024,1.0004149675369263,36.89082336425781,0.078173828125,118.2622169494629,0.2,0.891726553440094,0.00029972352,-0.009709416690748185,7396
0.01,-1.389954898487564,-0.00019416644401634895,8,25.08064,-0.4389385413912283,0.0010118264245748934,-0.4433448418165621,-0.003903521501342766,-0.32191923931209315,0.0,-0.024979124558036324,147456,-151.01349790000003,4424,-2.905624559288804e-08,33,0.0,-2.728063845673003e-06,-0.23409117590134487,-2.0113140497692394e-05,0.0,-0.8399698498133312,-0.2081606044974222,0.0005376,0.649876352,-0.1297863335212427,0.0,0.0,0.0,-0.10173607821434312,0.0,205.18,-0.01696125345933222,-0.39230929491488636,-0.5,0.056954221699160694,-0.1838668921604646,-34.05992317199707,0.011260649,1.0006552934646606,24.40662384033203,0.09464111328125,82.47633686065674,0.2,0.9004899263381958,0.00029967744,-0.010065766843035817,7400
0.01,-1.3712601474769677,-0.00021658426679633367,9,25.09216,-0.42594446519432233,0.0011073125092985316,-0.41367118649421264,-0.00600366839272384,-0.31842992924003144,0.0,-0.02667264179686302,165888,-151.1433933,4432,-3.6813924853982505e-08,37,0.0,-3.158753512235423e-06,-0.23576979805039336,-2.3350454462013444e-05,0.0,-0.9761408620180698,-0.21578154138258834,0.0006144,0.649858688,-0.12981021191838174,0.0,0.0,0.0,-0.10157073900074584,0.0,205.48,-0.011918484503266779,-0.3753641494926013,-0.5,0.05928876983940011,-0.190083120164747,-34.0629264831543,0.008884205,1.000866413116455,25.81027603149414,0.08961181640625,83.38339958190917,0.2,0.8746508955955505,0.00029963136,-0.01098174496437423,7404
0.01,-1.3442270189584216,-0.0002506226499206027,10,25.10368,-0.42934912803854286,0.0008881286485120654,-0.393696796555316,-0.010583475128644042,-0.32899244589745846,0.0,-0.02795665328497378,184320,-152.7502721,4440,-3.1041885842544315e-08,41,0.0,-3.6439121988371163e-06,-0.23150305878419541,-2.663344280277295e-05,0.0,-1.035324252444158,-0.21157610918999178,0.0006912,0.649841024,-0.13011107890420281,0.0,0.0,0.0,-0.10131624000746514,0.0,211.8,-0.028461006779268785,-0.36354784862015,-0.5,0.05663229305907272,-0.19506976213753532,-34.06657390594482,0.012396777,1.0012338161468506,16.111692428588867,0.1068115234375,52.028207778930664,0.2,0.8729940056800842,0.00029958527999999996,-0.014763465174473822,7408
