reward_terms/alive,reward_terms/fwd_speed,reward_terms/motor_vel,reward_terms/foot_ahead,reward_terms/energy,reward_terms/air_time,reward_terms/clearance,reward_terms/phase_contact,time/iterations,reward_terms/foot_slip,reward_terms/stance_time,curriculum/ent_coef,curriculum/ctrl_drop_prob,reward_terms/lat_vel,reward_terms/stop,curriculum/stance_ratio,reward_terms/vz,reward_terms/upright,rollout/ep_len_mean,time/total_timesteps,reward_terms/stance,reward_terms/hip_roll,time/fps,reward_terms/angmom,curriculum/eff_scale,reward_terms/torque,reward_terms/residual,reward_terms/assist_pen,curriculum/sprint_dist_m,curriculum/ctrl_jitter_ms,rollout/ep_rew_mean,reward_terms/step_rate,time/time_elapsed,reward_terms/ang_xy,reward_terms/residual_rate,reward_terms/height,reward_terms/coef_rate,reward_terms/action_rate,reward_terms/overrun,reward_terms/time,train/entropy_loss,train/approx_kl,train/clip_range,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/value_loss,train/loss,train/std
0.0,-0.08099428356045753,0.0,0.0,0.0,0.0006939009536937294,0.09534065344975301,-0.40785576197034173,1,-0.5711550606743107,-0.0012594891611822983,0.01,0.0,-3.5140674751855996e-08,0.0,0.65,-0.1951783675275857,-0.440264520801226,212.16455696202533,18432,-0.003911810924424703,-0.08575040365424508,2898,-0.16754767804316503,0.0,0.0,-0.10617138094213639,0.0,25.0,0.0,-150.55361311392406,0.0,6,-0.42746233373322634,-1.50083849989833,-0.029156901309086332,-1.2390441170224096,-0.09319936598106972,0.0,-0.5,,,,,,,,,,,
0.0,0.3388226883667427,-1.2255528060239711e-06,0.0,-6.234662418258927e-06,0.0002284066576976329,0.09273455114959415,-0.44811298926221915,2,-0.6600944371602313,0.0,0.01,0.0,-3.246753094352189e-08,0.0,0.649982336,-0.20933831397169497,-0.502727266367674,159.52,36864,-0.0004052882445845917,-0.04430321555729935,2789,-0.15146972968111305,7.68e-05,-4.4859459313428476e-05,-0.10407679827556339,0.0,25.01152,0.0,-139.68924113999998,0.0,13,-0.43862479549217687,-1.6232140433566664,-0.025061317116147765,-1.2563179408830532,-0.10266519210652608,0.0,-0.5,-34.07926601833768,0.045631167,0.2,146757,0.0002999852544,-0.03420863825077605,0.8256359696388245,0.2750786675347222,154.94630771213107,47.04200744628906,1.0021083354949951
0.0,0.30505326925519016,-2.42217533109182e-06,0.0,-1.237289440021037e-05,0.0002370871758709351,0.09294747706195966,-0.4493293019430609,3,-0.6457512393133664,0.0,0.01,0.0,-3.081844146178658e-08,0.0,0.6499646720000001,-0.1940389491325735,-0.4830472032976979,147.86,55296,-0.0008051882902583112,-0.04681703370739579,3194,-0.14871810419633907,0.0001536,-8.822603219801574e-05,-0.10407077152828259,0.0,25.02304,0.0,-136.72845214,0.0,17,-0.42911047764377375,-1.6075638982756917,-0.023753036229240684,-1.2596430291144918,-0.10138328070261987,0.0,-0.5,-34.07241093028676,0.052699763,0.2,146760,0.0002999705088,-0.01773181394673884,0.43876826763153076,0.26404918323863635,80.98656949129972,29.776575088500977,1.001664400100708
0.0,0.28608866527548776,-3.530088169774721e-06,0.0,-1.8484142325834184e-05,0.0002159283645192368,0.09295673699309852,-0.4453072858524583,4,-0.6174211622723176,0.0,0.01,0.0,-3.1975861099422113e-08,0.0,0.649947008,-0.18590289577267763,-0.4979609938959784,150.37,73728,-0.0002894620319170034,-0.0427669876249783,3449,-0.15376156033792301,0.0002304,-0.00013525941095103846,-0.10388656802039792,0.0,25.03456,0.0,-137.25420494999997,0.0,21,-0.45216802859726596,-1.6202340247719227,-0.024300801085526277,-1.2562560531532674,-0.1026226537844295,0.0,-0.5,-34.06392974853516,0.025091106,0.2,146761,0.00029995576319999997,0.0201234282925725,0.571855902671814,0.2767578125,81.91294708251954,36.13429641723633,1.000793695449829
0.0,0.22686173729433085,-4.732915034557359e-06,0.0,-2.4916995895627134e-05,0.00015136685882074138,0.08692537785647535,-0.4387916581663965,5,-0.6240165675082018,-1.4241341786045166e-05,0.01,0.0,-3.1667222415361697e-08,0.0,0.649929344,-0.17187823167704822,-0.5003395418100721,148.97,92160,-0.00032531017591969194,-0.0351443708628793,3613,-0.14768979586815034,0.0003072,-0.00017754773688156256,-0.10375866011419421,0.0,25.04608,0.0,-137.0634661,0.0,25,-0.43897329380865274,-1.6251412059288235,-0.01900323394552458,-1.271052058083714,-0.10377916029287806,0.0,-0.5,-34.06839261736189,0.040956985,0.2,146763,0.0002999410176,-0.0031382277541394743,0.6070051193237305,0.21983119419642858,66.5274897984096,28.030370712280273,1.0012106895446777
0.0,0.3371241000206513,-6.066836302938321e-06,0.0,-3.132235979887351e-05,0.0002935106264582525,0.10052563664953688,-0.4230521107449175,6,-0.6311433957983738,0.0,0.01,0.0,-3.32620294462608e-08,0.0,0.64991168,-0.20397034480372786,-0.5064345025002344,159.19,110592,-0.0006271820942905011,-0.04480071842010672,3740,-0.15610025326618235,0.000384,-0.00021953876217393738,-0.1039012284150961,0.0,25.0576,0.0,-139.50648429,0.0,29,-0.44285981755156617,-1.6330863631628092,-0.024473552334441623,-1.2688761473365302,-0.10479260049008592,0.0,-0.5,-34.06443786621094,0.022159634,0.2,146764,0.000299926272,0.016002063546329735,0.5278120040893555,0.26015625,58.21332473754883,23.214998245239258,1.0009009838104248
0.0,0.3121551748859417,-7.220121914367087e-06,0.0,-3.770912312658911e-05,0.00019476954993377958,0.09309085216554591,-0.4335572003525423,7,-0.6409067697473141,0.0,0.01,0.0,-3.3241175744435836e-08,0.0,0.6498940160000001,-0.1896173274873646,-0.49613247902397717,157.74,129024,-0.0006480143552294692,-0.047730455662448754,3835,-0.15362050425506918,0.0004608,-0.0002685643590166989,-0.1037617539103545,0.0,25.06912,0.0,-139.03301521000003,0.0,33,-0.4531700197156264,-1.62583119507448,-0.02364095931903528,-1.265855747659648,-0.10322333370391414,0.0,-0.5,-34.0695686340332,0.05861232,0.2,146766,0.0002999115264,0.009514290296162168,0.4589720368385315,0.3023274739583333,54.77351315816244,23.4984188079834,1.0013970136642456
0.0,0.30642584237940756,-8.504210029352832e-06,0.0,-4.4358078647816956e-05,0.0002707242868685474,0.08864461565290278,-0.4244654060617669,8,-0.6399178212350188,0.0,0.01,0.0,-3.3055498439651995e-08,0.0,0.649876352,-0.18188317344243407,-0.4780591416574068,151.17,147456,-0.002783153466556247,-0.04083010124882784,3910,-0.15618928556206865,0.0005376,-0.00031618412186307986,-0.10369009066209395,0.0,25.08064,0.0,-137.50263159,0.0,37,-0.4392758930813975,-1.6322099845318798,-0.02103875584046315,-1.277250905883427,-0.1038130336800275,0.0,-0.5,-34.072007497151695,0.067379184,0.2,146768,0.0002998967808,0.012044554071811339,0.2737104296684265,0.350830078125,47.98612276713053,20.14870834350586,1.001640796661377
0.0,0.3313602268629948,-9.602064274054792e-06,0.0,-4.9825154905909326e-05,0.00026692662181125744,0.09564279645805393,-0.4168358269938442,9,-0.6244875176177664,0.0,0.01,0.0,-3.3842678111023835e-08,0.0,0.649858688,-0.2222687382851183,-0.5217521810464636,158.19,165888,-0.0018193014153720492,-0.04767495242830794,3971,-0.17016111430184508,0.0006144,-0.0003504413832465935,-0.10372659191142006,0.0,25.09216,0.0,-139.13182599,0.0,41,-0.4502602521248929,-1.6309223460048987,-0.02580889564386845,-1.2695140398763294,-0.10452087659019021,0.0,-0.5,-34.070108795166014,0.02958636,0.2,146769,0.0002998820352,0.02235855273902416,0.08883416652679443,0.332177734375,43.025482940673825,19.551828384399414,1.0014801025390625
0.0,0.3945900311716166,-1.1320450333507796e-05,0.0,-5.7681626104794196e-05,0.00022189615022701523,0.09165424632487809,-0.40988206125657595,10,-0.643001149124257,-7.4597159659283025e-06,0.01,0.0,-3.3575093281738724e-08,0.0,0.649841024,-0.18474895194232402,-0.44031196938423395,162.51,184320,-0.0011527255593318272,-0.0511271405614451,4021,-0.14591774675975464,0.0006912,-0.00039645367861729854,-0.10425512849273338,0.0,25.10368,0.0,-139.79953843,0.0,45,-0.44740367905060885,-1.621557710696158,-0.025969957220393268,-1.2683903256740354,-0.10365826100464677,0.0,-0.5,-34.06520080566406,0.025496494,0.2,146770,0.0002998672896,0.01627348328474909,0.3285561203956604,0.28985595703125,43.27716636657715,19.613080978393555,1.0010557174682617
