reward_terms/ang_xy,reward_terms/foot_ahead,reward_terms/clearance,reward_terms/vz,reward_terms/torque,reward_terms/stance_time,reward_terms/action_rate,curriculum/stance_ratio,curriculum/ent_coef,time/total_timesteps,curriculum/sprint_dist_m,curriculum/eff_scale,rollout/ep_len_mean,reward_terms/assist_pen,reward_terms/hip_roll,reward_terms/stop,reward_terms/air_time,reward_terms/overrun,time/time_elapsed,reward_terms/foot_slip,reward_terms/step_rate,reward_terms/residual,time/iterations,reward_terms/fwd_speed,reward_terms/stance,curriculum/ctrl_drop_prob,reward_terms/angmom,reward_terms/residual_rate,reward_terms/phase_contact,reward_terms/upright,reward_terms/motor_vel,rollout/ep_rew_mean,reward_terms/energy,reward_terms/alive,curriculum/ctrl_jitter_ms,reward_terms/coef_rate,reward_terms/height,time/fps,reward_terms/lat_vel,reward_terms/time,train/learning_rate,train/std,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/clip_range,train/explained_variance,train/value_loss,train/loss
-0.33232638919954693,0.0,0.06488083148253647,-0.1443867275814765,0.0,0.0,-0.08370741575452746,0.65,0.01,18432,25.0,0.0,84.12,0.0,-0.06137318261701394,0.0,0.0006819657088878254,0.0,4,-0.5028981120695565,0.0,-0.10132516650542046,1,-0.12106663162892659,-0.0007899824104169043,0.0,-0.15035078268980853,0.0,-0.45440524546231625,-0.3471673241001473,0.0,-120.85265261999997,0.0,0.0,0.0,-1.231798991341054,-0.011310314083600372,4384,-2.5549394747055722e-08,-0.5,,,,,,,,,,,
-0.3882809034474501,0.0,0.057430189633926605,-0.14073067138863135,-2.8564612195853547e-05,0.0,-0.08612432279044531,0.649982336,0.01,36864,25.01152,7.68e-05,83.27,0.0,-0.008509867167223096,0.0,5.642346998987099e-05,0.0,8,-0.5354590210481678,0.0,-0.09930970439246291,2,-0.013046644328490509,-0.0004101411187378768,0.0,-0.19665601218440687,0.0,-0.5093758061647587,-0.4891054021430029,-6.131287985598859e-07,-120.59324891,-3.870993080004347e-06,0.0,0.0,-1.2530907560073985,-0.0059536836828699,4202,-2.218680247188432e-08,-0.5,0.0002999852544,1.0020029544830322,-0.02737553701736033,-34.073404502868655,152172,0.034893148,0.22755126953125,0.2,0.7968670129776001,197.92599716186524,61.54916000366211
-0.4024008719750933,0.0,0.05874128432180947,-0.14837762311950312,-5.806918361885049e-05,0.0,-0.09027366827251677,0.6499646720000001,0.01,55296,25.02304,0.0001536,87.3,0.0,-0.009909703857460763,0.0,0.0001350908811825017,0.0,12,-0.5418056831165221,0.0,-0.09942037292258459,3,0.010130482348894986,-0.001067730298375404,0.0,-0.21794084482880752,0.0,-0.4945564060258057,-0.5353806611436842,-1.2841557281264415e-06,-121.66129215999999,-7.967843001973578e-06,0.0,0.0,-1.2883029968039652,-0.006414131486267784,4302,-2.455963766389317e-08,-0.5,0.0002999705088,1.0007730722427368,0.01074052695184946,-34.062689463297524,152174,0.0684741,0.3186848958333333,0.2,-0.04913520812988281,43.839298248291016,18.5154972076416
-0.40513458597937557,0.0,0.06081087552519309,-0.16365881583172165,-8.914521174841747e-05,0.0,-0.0928313746879633,0.649947008,0.01,73728,25.03456,0.0002304,97.74,0.0,-0.014063071601990853,0.0,0.0001942270415990303,0.0,16,-0.538159637328108,0.0,-0.09970834027390899,4,0.0160149298477615,-0.0014891341585997417,0.0,-0.19745769404620248,0.0,-0.48396146598806145,-0.5688417256501521,-1.9976584017829733e-06,-124.25128075,-1.2172740675699895e-05,0.0,0.0,-1.283854864274903,-0.0087820660818072,4354,-2.653879105325744e-08,-0.5,0.00029995576319999997,1.0005296468734741,0.0147998440079391,-34.060441970825195,152175,0.026685636,0.28826904296875,0.2,-0.5169377326965332,44.156227111816406,20.384309768676758
-0.42459177691792244,0.0,0.060447268087118276,-0.1449397948950344,-0.00012512992706564184,0.0,-0.09380863737935358,0.649929344,0.01,92160,25.04608,0.0003072,97.55,0.0,-0.012862481183445284,0.0,8.409266592934728e-05,0.0,20,-0.5121461785746049,0.0,-0.10007734733773734,5,0.0020600001947963455,-0.0030961208299682985,0.0,-0.2019016713811737,0.0,-0.4682471508891666,-0.6316240653502175,-2.755473117058118e-06,-124.19412313000001,-1.6713203069801698e-05,0.0,0.0,-1.271296006081747,-0.00714279962134489,4395,-2.713108259831324e-08,-0.5,0.0002999410176,1.0001987218856812,0.021911789663136005,-34.05685043334961,152176,0.02861001,0.2547607421875,0.2,-1.0176212787628174,53.42412567138672,24.37786293029785
-0.4164751441045832,0.0,0.07415330978037502,-0.170643865144483,-0.00017036097578121293,0.0,-0.09712850108818732,0.64991168,0.01,110592,25.0576,0.000384,110.65,0.0,-0.02385745076736123,0.0,0.0001280378686108937,0.0,25,-0.510891723282154,0.0,-0.10073608473666183,6,0.17337867834510912,-0.004354853447070916,0.0,-0.19642285756803232,0.0,-0.43665716390656045,-0.6830584639755842,-3.868050307283237e-06,-126.56182219000002,-2.2764702852502057e-05,0.0,0.0,-1.2532429041092328,-0.014339829921341002,4418,-3.066697118981121e-08,-0.5,0.000299926272,1.0002150535583496,0.014875597320497036,-34.056968688964844,152177,0.026842661,0.2554931640625,0.2,-1.1842551231384277,60.738325119018555,31.128442764282227
-0.38501288642108694,0.0,0.08846595857370584,-0.18818361450196325,-0.0002082128280927079,0.0,-0.09749354483159678,0.6498940160000001,0.01,129024,25.06912,0.0004608,119.15,0.0,-0.028470509020416337,0.0,0.00022949175197734602,0.0,29,-0.48846593954747175,0.0,-0.10112578004452996,7,0.19634143564341042,-0.006231520406315904,0.0,-0.18829663919269007,0.0,-0.4177925468149117,-0.7477929294785906,-5.12715301089759e-06,-129.21634165000003,-2.8777935500722433e-05,0.0,0.0,-1.2466517242463242,-0.015644700905724073,4439,-3.349189862944603e-08,-0.5,0.0002999115264,1.000455617904663,0.015965998095149796,-34.05983225504557,152178,0.027893318,0.283203125,0.2,-0.31741654872894287,107.73914337158203,52.343994140625
-0.35693383457108635,0.0,0.09114742387534064,-0.18498164973306241,-0.00025429624580175356,0.0,-0.09974864673649149,0.649876352,0.01,147456,25.08064,0.0005376,132.87,0.0,-0.03988297301392909,0.0,0.00020399255057175955,0.0,33,-0.5066178214997322,0.0,-0.10189995810469088,8,0.3512342762427148,-0.009694772644285195,0.0,-0.1697863914091847,0.0,-0.39253427941828045,-0.7356000786849201,-6.170984584700728e-06,-131.93832288,-3.445935531005433e-05,0.0,0.0,-1.2416760175772015,-0.02240361724953408,4446,-3.446676575634573e-08,-0.5,0.0002998967808,1.0013723373413086,-0.0016671505457322513,-34.07089941842215,152180,0.04273645,0.26827566964285715,0.2,0.030146241188049316,93.71161651611328,34.292152404785156
-0.36409465997331897,0.0,0.09100230216332235,-0.19341727814062806,-0.0003029922713598566,0.0,-0.09889050644483147,0.649858688,0.01,165888,25.09216,0.0006144,142.63,0.0,-0.04032565202304312,0.0,0.0001540794522346308,0.0,37,-0.5245185434858883,0.0,-0.10204396963196587,9,0.3242463991893619,-0.0061459584911733,0.0,-0.16114341525999956,0.0,-0.37507640776876694,-0.7129331792400668,-7.700331110790484e-06,-134.46478084000003,-4.1819815340865015e-05,0.0,0.0,-1.2382542145625555,-0.018925625670112002,4456,-3.727049621495402e-08,-0.5,0.0002998820352,1.0016306638717651,-0.0013294126256369054,-34.074023723602295,152182,0.042996947,0.3150634765625,0.2,0.20057106018066406,132.25417804718018,54.627220153808594
-0.3538195296918862,0.0,0.10199560847840744,-0.20933420982046916,-0.0003577974057300192,0.0,-0.09725005353587658,0.649841024,0.01,184320,25.10368,0.0006912,147.12,0.0,-0.047466628649416656,0.0,0.0001491966573262794,0.0,41,-0.5335087122169591,0.0,-0.10254550435100146,10,0.3573335621425,-0.0068938276543183095,0.0,-0.15720390097440629,0.0,-0.37336305634482975,-0.7220099750251088,-9.116528244513551e-06,-135.2479578,-4.940646462773747e-05,0.0,0.0,-1.216747155389999,-0.02360906776668689,4463,-3.961595296257861e-08,-0.5,0.0002998672896,1.0015761852264404,-0.009305719751864672,-34.07338857650757,152184,0.038694542,0.260406494140625,0.2,0.08836627006530762,94.67681121826172,35.371986389160156
