reward_terms/overrun,curriculum/swing_frac_mean,curriculum/eff_scale,reward_terms/action_rate,reward_terms/height,curriculum/ent_coef,reward_terms/alive,curriculum/cmd_track_err,time/fps,reward_terms/track_yaw,reward_terms/upright,reward_terms/stand_drift,reward_terms/lat_vel,reward_terms/ang_xy,reward_terms/time,est/vel_rmse,rollout/ep_len_mean,reward_terms/fwd_speed,reward_terms/foot_slip,reward_terms/foot_ahead,curriculum/stance_ratio,reward_terms/stop,reward_terms/residual,reward_terms/stance,reward_terms/air_time,reward_terms/stand,curriculum/dr_scale,reward_terms/stance_time,reward_terms/assist_pen,reward_terms/step_rate,curriculum/ctrl_drop_prob,reward_terms/track_lin,ankle/ankle_spring_trq_peak,time/iterations,reward_terms/hip_roll,curriculum/ctrl_jitter_ms,reward_terms/duty_sym,reward_terms/angmom,rollout/ep_rew_mean,time/time_elapsed,reward_terms/vz,time/total_timesteps,reward_terms/phase_contact,curriculum/cmd_scale,ankle/ankle_defl_peak,curriculum/swing_frac_min,reward_terms/torque,reward_terms/motor_vel,reward_terms/coef_rate,reward_terms/clearance,ankle/ankle_spring_energy_peak,reward_terms/energy,reward_terms/residual_rate,train/approx_kl,train/std,train/n_updates,train/clip_range,train/loss,train/value_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,curriculum/ctrl_jitter_ms_progress,curriculum/eff_scale_progress,curriculum/stance_ratio_progress,curriculum/ctrl_drop_prob_progress,curriculum/dr_scale_progress
0.0,0.1991916232638889,0.0,-0.09435869284758294,-0.013708038051735521,0.01,0.0,0.6825104474881591,9113,1.630687350088485,-0.220563286299002,-0.018963367250838182,-0.12987933806770807,-0.15085497396585865,0.0,1.250487566273346,170.5072463768116,0.0,-0.731434800377459,0.0,0.7,0.0,-0.09616709797707604,-0.09960775852922103,4.0689948946237564e-05,0.44365753400401353,0.0,-6.591725913393829e-05,0.0,-0.005588107638888939,0.0,1.086386546921806,0.0,1,-0.06460198075719589,0.0,0.0,-0.12276492822475177,-71.81889131884058,2,-0.08803075803956183,18432,-0.06710261137147508,0.0,0.505200113027017,0.1372612847222222,0.0,0.0,-0.7183882958742392,0.021806425831921886,0.0,0.0,0.0,,,,,,,,,,,,,,,,
0.0,0.18180338541666666,0.0,-0.0992355336028618,-0.016416379760487425,0.01,0.0,0.3558360305660426,9165,1.6291465609485245,-0.2370921888473367,-0.03197923482885143,-0.15560526189908097,-0.12928394059883302,0.0,0.9297985363215797,209.63,0.0,-0.5199849814155227,0.0,0.7,0.0,-0.0970609077051884,-0.09767176522642124,0.0,0.3480597005042315,0.0,0.0,0.0,-0.00460069444444448,0.0,0.925059263448294,0.0,2,-0.04681677694293551,0.0,0.0,-0.10856716697565519,-35.24121005,4,-0.0797699576339918,36864,0.0,0.0,0.5050476223136009,0.1081814236111111,0.0,0.0,-0.6928084139079648,0.0,0.0,0.0,0.0,0.02094624,0.9999690651893616,56266,0.2,165.67626953125,504.8306610107422,0.00029995392,0.8299273252487183,0.2217041015625,-0.007573805225547403,-36.87304573059082,,,,,
0.0,0.195068359375,0.0,-0.09994501781226832,-0.019259294810876442,0.01,0.0,0.3551236932807523,8832,1.6067647984102984,-0.25821159686868694,-0.03374063386663943,-0.15344473648462942,-0.1366747664944863,0.0,0.7867380785722226,211.81,0.0,-0.5588208986089107,0.0,0.7,0.0,-0.09668908441096039,-0.06684292288526911,0.0,0.28953778594415436,0.0,0.0,0.0,-0.0050672743055555965,0.0,0.8519392887034142,0.0,3,-0.04612966501757269,0.0,0.0,-0.12571555729211428,-42.14579358,6,-0.09788013672476682,55296,0.0,0.0,0.5051485263814119,0.13167317708333334,0.0,0.0,-0.6978573789811506,0.0,0.0,0.0,0.0,0.024469415,1.001266598701477,56270,0.2,116.23542785644531,351.0141357421875,0.00029990784,0.8661721348762512,0.24896240234375,-0.013241162523627281,-36.89602165222168,,,,,
0.0,0.20369466145833334,0.0,-0.09866339937334682,-0.020509978234837557,0.01,0.0,0.2880119367456796,8318,1.6340599331297396,-0.27354514340076813,-0.041942559499951904,-0.1496895242252412,-0.13565863240124684,0.0,0.6270939321245365,224.09,0.0,-0.44939550860863814,0.0,0.7,0.0,-0.09659593567460746,-0.04490735689993585,0.0,0.3707469093205525,0.0,0.0,0.0,-0.00431857638888892,0.0,1.0537616712133304,0.0,4,-0.04977738281940415,0.0,-0.00019395596423000627,-0.13626568764968516,-40.64847541999999,8,-0.09669170995576075,73728,0.0,0.0,0.5050730025908213,0.1506076388888889,0.0,0.0,-0.6856750951134678,0.0,0.0,0.0,0.0,0.019244976,1.0011569261550903,56274,0.2,102.97657775878906,345.45397186279297,0.00029986176,0.8694949150085449,0.24979248046875,-0.008011689950944857,-36.9029619216919,,,,,
0.0,0.18522135416666666,0.0,-0.09446412709768962,-0.021464822607776074,0.01,0.0,0.32259456673906994,7818,1.6473796901512767,-0.24873920663920923,-0.05186213481041066,-0.11447012061343867,-0.12617962324950086,0.0,0.5803894594647818,216.1,0.0,-0.4558114505681626,0.0,0.7,0.0,-0.09700319395972673,-0.04305291872141469,0.0,0.369056200510258,0.0,0.0,0.0,-0.004242621527777809,0.0,0.8715372530263713,0.0,5,-0.03955219710704034,0.0,0.0,-0.15373526004085114,-31.006478010000002,11,-0.10774767987980836,92160,0.0,0.0,0.505180089080149,0.10009765625,0.0,0.0,-0.6503899901876751,0.0,0.0,0.0,0.0,0.01570667,1.0012705326080322,56278,0.2,118.47623443603516,371.22705078125,0.00029981568,0.9176675081253052,0.2185546875,-0.009026179288048298,-36.90476398468017,,,,,
0.0,0.2073025173611111,0.0,-0.09495942900976938,-0.026633017695557596,0.01,0.0,0.3241643596630598,7473,1.6195702223871888,-0.2942155018224277,-0.06600597855801897,-0.1434406583982245,-0.1342719655681977,0.0,0.5655078208055369,214.91,0.0,-0.48049186670292987,0.0,0.7,0.0,-0.0966557440918813,-0.0663392576112953,0.0,0.3560321132681877,0.0,0.0,0.0,-0.004589843750000036,0.0,0.8723759528923274,0.0,6,-0.04394329680277096,0.0,0.0,-0.17225562720505422,-39.23444079,14,-0.11975730146942087,110592,0.0,0.0,0.5051798404802923,0.12358940972222222,0.0,0.0,-0.6637391430714022,0.0,0.0,0.0,0.0,0.01591756,1.0012526512145996,56282,0.2,100.99536895751953,312.0529273986816,0.00029976959999999996,0.906965970993042,0.20531005859375,-0.008874352579005063,-36.906937217712404,,,,,
0.0,0.21129014756944445,0.0,-0.09411429683911629,-0.0274145080595561,0.01,0.0,0.26786873219198715,7237,1.6357776082973223,-0.3182039427476322,-0.06216340669293628,-0.17157184016288812,-0.13561442351680997,0.0,0.5616141071923098,220.89,0.0,-0.4638573622922419,0.0,0.7,0.0,-0.09682526387237896,-0.06251941116656583,0.0,0.36458563268414573,0.0,0.0,0.0,-0.004752604166666705,0.0,0.9089860520943627,0.0,7,-0.04182753225775086,0.0,0.0,-0.1753735344354417,-39.65616758,17,-0.1258461665334278,129024,0.0,0.0,0.5051717506090703,0.1436089409722222,0.0,0.0,-0.6542980717720392,0.0,0.0,0.0,0.0,0.017146455,1.001378059387207,56286,0.2,103.57064056396484,303.4955894470215,0.00029972352,0.9276618361473083,0.1737060546875,-0.012370747898239642,-36.90648727416992,,,,,
0.0,0.19902886284722224,0.0,-0.09304109239046385,-0.026727887346860022,0.01,0.0,0.3024978803870442,7058,1.6609118036569326,-0.2783172461937177,-0.06962118155700467,-0.11359868510776042,-0.1298346703085694,0.0,0.488882808153792,222.76,0.0,-0.4634241868937483,0.0,0.7,0.0,-0.09739491654694671,-0.042924348181579086,0.0,0.347445942726054,0.0,0.0,0.0,-0.004372829861111143,0.0,0.8837107935507769,0.0,8,-0.037639515108074686,0.0,0.0,-0.18717625815140856,-34.38436514000001,20,-0.12458450332462997,147456,0.0,0.0,0.504610045452798,0.1169162326388889,0.0,0.0,-0.6622867296837641,0.0,0.0,0.0,0.0,0.017501013,1.0016306638717651,56290,0.2,126.79045867919922,404.3350341796875,0.00029967744,0.9055837392807007,0.26868896484375,-0.003284823102876544,-36.912113952636716,,,,,
0.0,0.21622721354166669,0.0,-0.09608332997374067,-0.027053566957973983,0.01,0.0,0.29996196688794874,6896,1.6044695259743853,-0.3254328154133985,-0.06434578367964791,-0.17947979224532318,-0.14335736165941595,0.0,0.5336083070883331,228.01,0.0,-0.46375090401723884,0.0,0.7,0.0,-0.09639632075390164,-0.059727266123903694,0.0,0.34148060851128337,0.0,0.0,0.0,-0.004763454861111149,0.0,0.9229905072307937,0.0,9,-0.04338403877277376,0.0,0.0,-0.1763991453383148,-35.19881406,24,-0.13210111479479736,165888,0.0,0.0,0.5051902787428953,0.15152994791666666,0.0,0.0,-0.6525481111670267,0.0,0.0,0.0,0.0,0.016406503,1.001923680305481,56294,0.2,104.49034118652344,350.1414436340332,0.00029963136,0.9186530113220215,0.18709716796875,-0.012085371720604598,-36.912549781799314,,,,,
0.0,0.21226671006944445,0.0,-0.09582652425488503,-0.028747756645444766,0.01,0.0,0.2691311708580209,6821,1.6292572189726924,-0.32132211165895613,-0.0666715925638483,-0.17650131156559462,-0.14296674256551853,0.0,0.47717104033416485,220.52,0.0,-0.5225982371744053,0.0,0.7,0.0,-0.09680944023315485,-0.05105854793323416,0.0,0.3600772885107762,0.0,0.0,0.0,-0.004828559027777816,0.0,0.8851898419416792,0.0,10,-0.04452247835002534,0.0,0.0,-0.1876171762954412,-40.921166369999995,27,-0.14594324594757227,184320,0.0,0.0,0.5049690820767619,0.12841796875,0.0,0.0,-0.6605531538897799,0.0,0.0,0.0,0.0,0.020724082,1.0021984577178955,56298,0.2,110.18273162841797,308.9322105407715,0.00029958527999999996,0.9087287783622742,0.223193359375,-0.010974444390740246,-36.91833992004395,,,,,
