reward_terms/coef_rate,reward_terms/hip_roll,reward_terms/track_yaw,time/fps,reward_terms/ang_xy,reward_terms/stance_time,time/time_elapsed,reward_terms/torque,reward_terms/alive,reward_terms/action_rate,reward_terms/stand,reward_terms/stop,reward_terms/stand_drift,reward_terms/air_time,curriculum/eff_scale,reward_terms/step_rate,rollout/ep_rew_mean,reward_terms/phase_contact,curriculum/stance_ratio,reward_terms/angmom,reward_terms/time,reward_terms/track_lin,curriculum/ent_coef,reward_terms/residual_rate,time/total_timesteps,reward_terms/assist_pen,reward_terms/foot_ahead,curriculum/cmd_scale,curriculum/cmd_track_err,reward_terms/stance,rollout/ep_len_mean,reward_terms/upright,reward_terms/overrun,reward_terms/vz,reward_terms/residual,time/iterations,reward_terms/motor_vel,reward_terms/fwd_speed,reward_terms/clearance,reward_terms/height,reward_terms/energy,reward_terms/lat_vel,reward_terms/foot_slip,train/clip_fraction,train/entropy_loss,train/value_loss,train/n_updates,train/loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/std,train/explained_variance,train/learning_rate
-1.6011035836260763,-0.023317763378428384,0.7538606396407324,2949,-0.3913597998540559,0.0,6,0.0,0.5,-0.2524281792320651,0.22772994097593033,0.0,-0.046422060784776724,3.1466945074498653e-05,0.0,0.0,-110.20116443157895,-0.09365809452173053,0.7,-0.07997987991285332,0.0,0.6565013683239341,0.01,0.0,18432,0.0,0.0,0.0,1.255459295411425,-0.02029045726701952,175.30526315789473,-0.32794752133868293,0.0,-0.23161295748072,-0.06055044641369026,1,0.0,0.0,0.04405965841870307,-0.061073443547662004,0.0,-0.2356638050816723,-0.43286798464230647,,,,,,,,,,,
-1.591033517837317,-0.02922719619726892,0.7090527579299306,2908,-0.38366245033102364,-3.7976488884952332e-06,12,0.0,0.5,-0.25751591968562504,0.19185313025083342,0.0,-0.05236998171712884,1.8988668064897258e-05,0.0,0.0,-105.07169206999998,-0.08039191302892182,0.7,-0.08506959361673565,0.0,0.6405805459831939,0.01,0.0,36864,0.0,0.0,0.0,1.0509073889609435,-0.027797633367066515,174.02,-0.3903744910009478,0.0,-0.25864615124074336,-0.060553232891157584,2,0.0,0.0,0.03147207038936911,-0.06982466601162782,0.0,-0.32923984026922665,-0.41549526912201024,0.055419921875,-36.917684936523436,536.8593017578125,4,252.41122436523438,0.2,-0.023331036255694926,0.009089684,1.002221703529358,-0.008115172386169434,0.000299990784
-1.6019734694369507,-0.029948709577999253,0.7225965947077876,3260,-0.397561061623344,0.0,16,0.0,0.5,-0.256976876572055,0.20692159574334057,0.0,-0.051934223330927634,3.2551955276479325e-06,0.0,0.0,-106.74447432999999,-0.08467529821572183,0.7,-0.08212830567472147,0.0,0.6652453477759059,0.01,0.0,55296,0.0,0.0,0.0,1.0759329652612548,-0.02452224798475847,176.74,-0.3919519677817979,0.0,-0.25101078848798397,-0.06050628128676937,3,0.0,0.0,0.03321792807427206,-0.07095490914184438,0.0,-0.3101119864007165,-0.4232948433980124,0.013330078125,-36.91422252655029,561.9314849853515,8,269.24078369140625,0.2,-0.013643805147148668,0.0047589736,1.001832365989685,0.16477054357528687,0.000299981568
-1.590335545394109,-0.029158011453411143,0.7303454328920221,3470,-0.38925914880792795,-4.068747835440768e-07,21,0.0,0.5,-0.2571627071307713,0.15040296694594865,0.0,-0.04173157593903921,1.62759970407933e-05,0.0,0.0,-109.02800373999999,-0.10034734913286472,0.7,-0.07881774965776812,0.0,0.6444481717361197,0.01,0.0,73728,0.0,0.0,0.0,1.1148569504018784,-0.03396830925318006,175.2,-0.36672006446187144,0.0,-0.23922983347473276,-0.06063626613069653,4,0.0,0.0,0.03665620333684403,-0.06503523823066581,0.0,-0.29386743429232526,-0.43945657541360406,0.00731201171875,-36.91327610015869,541.3249069213867,12,232.32044982910156,0.2,-0.010786968399770558,0.0037258132,1.0017564296722412,0.3416064977645874,0.00029997235199999997
-1.589501001801587,-0.030437569438315056,0.6625108468101868,3608,-0.4002038630424829,0.0,25,0.0,0.5,-0.2564508650839467,0.15286046950107657,0.0,-0.036370587434906995,1.8446143561353285e-05,0.0,0.0,-111.21847369,-0.09799463800213395,0.7,-0.08026951400106665,0.0,0.6428436569224373,0.01,0.0,92160,0.0,0.0,0.0,1.1072169386664428,-0.039575325282537654,173.11,-0.3733369734842565,0.0,-0.24601850965805033,-0.0605111933211383,5,0.0,0.0,0.0339294503642912,-0.06640613951939353,0.0,-0.3086389935560604,-0.4464820373566228,0.00986328125,-36.91462345123291,518.223860168457,16,243.72222900390625,0.2,-0.01244238733779639,0.004335722,1.0018526315689087,0.43113332986831665,0.000299963136
-1.586824937380417,-0.028311520147105425,0.6957929770450537,3704,-0.39079143607497163,0.0,29,0.0,0.5,-0.25114570198491687,0.17938869272906371,0.0,-0.036900500925636556,8.680527874579033e-06,0.0,0.0,-107.56416403000001,-0.0775861621749652,0.7,-0.08307487748411671,0.0,0.714362462004218,0.01,0.0,110592,0.0,0.0,0.0,1.1120523898577275,-0.028864481530826627,177.76,-0.35333455493117827,0.0,-0.2534351354023417,-0.06051780869285436,6,0.0,0.0,0.03354347816722648,-0.06654422035305108,0.0,-0.2823239300120284,-0.4460867764748546,0.012939453125,-36.913452529907225,544.789599609375,20,279.7769775390625,0.2,-0.012842918350361287,0.0045997174,1.0018023252487183,0.4986974596977234,0.00029995392
-1.5913571817311771,-0.02755807443084372,0.7417628370717518,3782,-0.39186996160494386,0.0,34,0.0,0.5,-0.2548271091115797,0.1976323877292824,0.0,-0.058685984237250605,3.09244302722315e-05,0.0,0.0,-104.66463782000001,-0.07052136133948893,0.7,-0.07940303494227216,0.0,0.7335182889159572,0.01,0.0,129024,0.0,0.0,0.0,1.060569591811323,-0.01869519158534008,182.61,-0.3581227549011142,0.0,-0.2562486067202384,-0.06074016800475858,7,0.0,0.0,0.029113388774602685,-0.0683298018852507,0.0,-0.2845491723863986,-0.438821698618846,0.00745849609375,-36.90860424041748,495.4774566650391,24,236.69297790527344,0.2,-0.01198586318641901,0.003685215,1.0013246536254883,0.5505859851837158,0.00029994470399999997
-1.598514417696016,-0.027702926649557258,0.7241230599283853,3840,-0.3885159745016472,0.0,38,0.0,0.5,-0.25625234226832894,0.20301731458241468,0.0,-0.042342492452351645,0.0,0.0,0.0,-107.70826925000003,-0.07757443454471726,0.7,-0.08009116363331945,0.0,0.6916966961375938,0.01,0.0,147456,0.0,0.0,0.0,1.0530864699670757,-0.025140547928280164,180.23,-0.37109564037259146,0.0,-0.2596168098227011,-0.060251502992781064,8,0.0,0.0,0.023348820082597522,-0.06888783984845137,0.0,-0.2882592075401006,-0.4316615833572614,0.00775146484375,-36.902299118041995,484.9514221191406,28,230.97137451171875,0.2,-0.011954126320779324,0.0038349293,1.000959038734436,0.581013023853302,0.000299935488
-1.588884992700371,-0.03049162493263529,0.7240326318650978,3886,-0.40139542858503535,0.0,42,0.0,0.5,-0.252842879881815,0.20321429339975663,0.0,-0.062145330161407,4.0147502052908145e-05,0.0,0.0,-105.33884546000002,-0.07724934725290948,0.7,-0.07969420980917014,0.0,0.6834126344988607,0.01,0.0,165888,0.0,0.0,0.0,1.074552780408933,-0.02466623488642416,189.42,-0.37640143469375187,0.0,-0.2553997468223985,-0.06059550946412214,9,0.0,0.0,0.035514344052207276,-0.0719099835825428,0.0,-0.2944026389811431,-0.41606344026614495,0.00953369140625,-36.901939392089844,479.0307891845703,32,216.3511199951172,0.2,-0.012460098718293011,0.0040403935,1.0010744333267212,0.6151175498962402,0.000299926272
-1.5860683225510546,-0.027775185915843822,0.7349513286540872,3925,-0.3958654110539335,-1.4241341786045166e-05,46,0.0,0.5,-0.25435644195888996,0.1773967219772704,0.0,-0.03888003804405339,7.5954594649374485e-06,0.0,0.0,-107.04033836999999,-0.08749655277598332,0.7,-0.07988853695542492,0.0,0.6847531660853599,0.01,0.0,184320,0.0,0.0,0.0,1.1185679228186507,-0.026638524880419113,174.93,-0.3518143193769203,0.0,-0.25468833419803855,-0.06078498003135662,10,0.0,0.0,0.026371008123306724,-0.06839742968453667,0.0,-0.26270068906498634,-0.4641127158253251,0.00806884765625,-36.90700149536133,425.4173522949219,36,215.588134765625,0.2,-0.011707340483553708,0.0037746863,1.0013701915740967,0.6628730297088623,0.000299917056
-1.5741612879567781,-0.026717202122389032,0.7041334580081829,3957,-0.3788508620130753,0.0,51,0.0,0.5,-0.2572946982187797,0.13903296134485665,0.0,-0.025620456696428318,1.953121197099487e-05,0.0,0.0,-112.80011701999997,-0.11365709748279171,0.7,-0.08004536519888296,0.0,0.582787452585175,0.01,0.0,202752,0.0,0.0,0.0,1.0872284038997548,-0.020196893443234505,179.66,-0.35348720804407185,0.0,-0.25516385747462755,-0.060975598942724835,11,0.0,0.0,0.04575397283345715,-0.07051567058222519,0.0,-0.28316424687306513,-0.4318944955163204,0.00968017578125,-36.912343215942386,469.95164642333987,40,220.35191345214844,0.2,-0.012590421666391193,0.0041129347,1.001845359802246,0.6599618196487427,0.00029990784
-1.589507919634878,-0.02732908076417989,0.6964646685598093,3982,-0.38715065389708525,-2.034438592899177e-06,55,0.0,0.5,-0.2563378207210834,0.17897881953511335,0.0,-0.0446949979153024,2.549908822402358e-05,0.0,0.0,-107.93364302999998,-0.09283505498577267,0.7,-0.07811052021262249,0.0,0.6407525132190496,0.01,0.0,221184,0.0,0.0,0.0,1.0711401288836957,-0.022295346151129457,184.53,-0.3632353564481716,0.0,-0.26125735509572245,-0.06044391710341964,12,0.0,0.0,0.03507067276801033,-0.06985623610138346,0.0,-0.2982186958657454,-0.434468587751508,0.01220703125,-36.91486701965332,412.73180084228517,44,185.5890350341797,0.2,-0.013635976059595123,0.0044950135,1.0018188953399658,0.6668656468391418,0.000299898624
-1.58756686803238,-0.02771053411019162,0.7315191131073606,4005,-0.3919156940484272,-4.760704016209477e-05,59,0.0,0.5,-0.25037923190285233,0.2010862347464978,0.0,-0.04542219104806663,3.2551955276479325e-06,0.0,0.0,-105.45230335000004,-0.09627468647176826,0.7,-0.0731251402270422,0.0,0.7013288382162359,0.01,0.0,239616,0.0,0.0,0.0,1.0443578666951558,-0.018646438779966648,175.17,-0.3328104682602003,0.0,-0.23756314012650492,-0.06057859195215105,13,0.0,0.0,0.030676965241588892,-0.06360602651935535,0.0,-0.25449357439180603,-0.4521444196029807,0.00802001953125,-36.90911426544189,401.1459228515625,48,181.2057647705078,0.2,-0.012454486719798296,0.0037999041,1.001304268836975,0.678536057472229,0.00029988940799999996
-1.5901275221748088,-0.030987183795751733,0.6930363984438459,4025,-0.3963106306570754,-2.848226965094606e-06,64,0.0,0.5,-0.2586450062682078,0.14940830011222117,0.0,-0.04897525065931715,1.1935723402226964e-05,0.0,0.0,-109.56652581000002,-0.10101259415664061,0.7,-0.07998976618372404,0.0,0.6304408406532793,0.01,0.0,258048,0.0,0.0,0.0,1.0312875886922017,-0.03227247527672223,185.75,-0.3577510771562102,0.0,-0.2506875244710112,-0.060631042305710814,14,0.0,0.0,0.03258964835068812,-0.0685142921857582,0.0,-0.31276500008013636,-0.4503849244553654,0.0110595703125,-36.9057975769043,415.6217666625977,52,188.55105590820312,0.2,-0.012868859304580838,0.0044061253,1.0012465715408325,0.6688429713249207,0.000299880192
-1.5830339781182186,-0.029958514320798095,0.7179070642713269,4041,-0.39784720852073624,0.0,68,0.0,0.5,-0.2555226077798898,0.1834656526592826,0.0,-0.04231443183401638,2.0073726773262024e-05,0.0,0.0,-112.19391768000001,-0.10966548374605001,0.7,-0.07020537881100594,0.0,0.5429649514883598,0.01,0.0,276480,0.0,0.0,0.0,1.0170344768588209,-0.03426813423772649,180.88,-0.35825749332388146,0.0,-0.25049114380654797,-0.06075678863692216,15,0.0,0.0,0.03752088586128682,-0.06964069547210251,0.0,-0.3397080944985712,-0.44545798309287193,0.0095947265625,-36.906588554382324,383.67421875,56,165.15481567382812,0.2,-0.012585224234499037,0.0041518183,1.0014369487762451,0.6479132175445557,0.000299870976
