reward_terms/lat_vel,reward_terms/foot_ahead,curriculum/ent_coef,reward_terms/stance_time,reward_terms/torque,time/fps,reward_terms/residual,rollout/ep_len_mean,reward_terms/height,curriculum/eff_scale,reward_terms/ang_xy,reward_terms/vz,reward_terms/step_rate,reward_terms/clearance,reward_terms/phase_contact,reward_terms/stance,reward_terms/time,curriculum/ctrl_jitter_ms,reward_terms/overrun,reward_terms/energy,reward_terms/coef_rate,reward_terms/hip_roll,reward_terms/angmom,reward_terms/assist_pen,reward_terms/air_time,curriculum/ctrl_drop_prob,rollout/ep_rew_mean,reward_terms/foot_slip,reward_terms/alive,curriculum/stance_ratio,curriculum/sprint_dist_m,time/total_timesteps,reward_terms/fwd_speed,reward_terms/motor_vel,reward_terms/action_rate,reward_terms/stop,time/time_elapsed,time/iterations,reward_terms/upright,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/value_loss,train/explained_variance,train/std,train/approx_kl,train/clip_fraction,train/clip_range,train/loss
-0.05092871223186407,0.0,0.01,-0.007075043463070567,0.0,3340,-0.10613040963241506,179.13953488372093,-0.010506683056030157,0.0,-0.291017863535976,-0.07617172414340147,0.0,0.07352004544394382,-0.21392498832189938,-0.02230942936208651,-0.5,0.0,0.0,0.0,-0.7514275711239209,-0.2381818050251431,-0.07384631353942642,0.0,0.001265190664627072,0.0,-101.49898939534886,-0.5317951668710561,0.0,0.65,25.0,18432,2.9388397274288054,0.0,-0.1121301743715539,0.0,5,1,-0.24256076005407326,,,,,,,,,,,
-0.06687391856675533,0.0,0.01,-3.7976488884952332e-06,-3.615003752411877e-05,3238,-0.09687627721729239,191.3,-0.010353328174131302,7.68e-05,-0.3845224854732201,-0.14040007471273286,0.0,0.07840175046125615,-0.3456127569855928,-0.1245502886536168,-0.5,0.0,0.0,-5.215715410319222e-06,-1.0775139747203026,-0.2076645363490989,-0.1002394878726842,0.0,0.0010069440209513737,0.0,-68.52443808,-0.47780768936915485,0.0,0.649982336,25.01152,36864,1.9468564135336344,-9.10340991981224e-07,-0.1318767673537974,0.0,11,2,-0.6823730811248535,0.00029999385599999997,-34.0741024017334,-0.004054676368832588,24486,559.0525466918946,0.8611479997634888,1.001462697982788,0.011918152,0.15030517578125,0.2,139.2315216064453
-0.059130354579151806,0.0,0.01,-0.0030767062368492284,-5.0865301432878524e-05,3543,-0.09151437555716428,110.18,-0.009197183332510378,0.0001536,-0.36244481874157986,-0.15674036305506647,0.0,0.04619070871904851,-0.47708139480925293,-0.1767828908672438,-0.5,0.0,0.0,-5.3952996133278035e-06,-1.2932852971631839,-0.2179990283859033,-0.10286090450640298,0.0,0.0004861106054805633,0.0,-127.52136173,-0.5023172788910161,0.0,0.6499646720000001,25.02304,55296,0.21034459309452214,-7.070265532670088e-07,-0.1450402578868611,0.0,15,3,-0.9453962141187015,0.000299987712,-34.066141319274905,-0.009882925497367977,24490,230.56988143920898,0.956224799156189,1.0012972354888916,0.016538136,0.1542236328125,0.2,93.61858367919922
-0.06893229270812255,0.0,0.01,-0.010780006338286007,-7.731135827767138e-05,3723,-0.09230179000128803,138.64,-0.01368482406944816,0.0002304,-0.3064814275363626,-0.14557615678802463,0.0,0.04016136771068186,-0.49018879287281575,-0.14359970218380091,-0.5,0.0,0.0,-7.42239542098476e-06,-1.2792725209642208,-0.25027824757604294,-0.09295473196712147,0.0,0.0006168612841671953,0.0,-134.62746843000002,-0.4917996550404012,0.0,0.649947008,25.03456,73728,-0.00686695897291282,-9.204769547114657e-07,-0.14550949562094642,0.0,19,4,-0.9485451374437167,0.000299981568,-34.07704183790419,-0.007983827446069982,24494,72.13872634039984,0.9071590304374695,1.0021462440490723,0.03979233,0.2567816840277778,0.2,20.167871475219727
-0.09472212107987456,0.0,0.01,-0.010130187722906057,-0.00011033484327904884,3850,-0.09315564400196563,133.55,-0.013907701779012176,0.0003072,-0.3079189997987744,-0.14306611166143757,0.0,0.02617414162864301,-0.4946445558108797,-0.19885386238639063,-0.5,0.0,0.0,-1.0306123987626104e-05,-1.2557495564666508,-0.2783660938639163,-0.09336638210911657,0.0,0.00013454842135413655,0.0,-133.36843448,-0.5439235622524455,0.0,0.649929344,25.04608,92160,-0.026002560362336807,-1.3042612968851437e-06,-0.14551634697185745,0.0,23,5,-0.9711901040956094,0.000299975424,-34.07672309875488,0.008773598121479154,24497,39.938876152038574,0.2720526456832886,1.0019313097000122,0.04796891,0.3461507161458333,0.2,11.762702941894531
-0.102154440818002,0.0,0.01,-0.006839444168791588,-0.00013841640839200195,3949,-0.09412708468564988,137.07,-0.01583154153191981,0.000384,-0.2835816847540392,-0.12940268813971278,0.0,0.02649425986571942,-0.49053317796986945,-0.18050926442454063,-0.5,0.0,0.0,-1.310125905692983e-05,-1.2272734716680014,-0.3008852825093622,-0.09286175261493758,0.0,0.00022949193630160557,0.0,-134.24836614,-0.5607104737675379,0.0,0.64991168,25.0576,110592,-0.05573945525526125,-1.6762871580692426e-06,-0.14363030229763854,0.0,28,6,-0.9615706314782455,0.00029996928,-34.05939229329427,0.017106877639889717,24498,50.431479136149086,0.07519775629043579,1.0004057884216309,0.036993988,0.3452962239583333,0.2,22.157428741455078
-0.10592452122679584,0.0,0.01,-0.005957284880827906,-0.00016927302611117537,4018,-0.09471725391422675,151.36,-0.01442462942437115,0.0004608,-0.2705056874024823,-0.11897812753264879,0.0,0.02823808470772997,-0.4649332858428774,-0.1668460303144056,-0.5,0.0,0.0,-1.652911716827094e-05,-1.1985974375421824,-0.2839426694598687,-0.09713485413232768,0.0,0.0001893445053913941,0.0,-137.81634027,-0.5695329069671712,0.0,0.6498940160000001,25.06912,129024,-0.015578825910221951,-2.157826773828481e-06,-0.1449271254141077,0.0,32,7,-0.9929317227477237,0.000299963136,-34.07385762532552,0.0033504183197187055,24500,44.700158013237846,0.1064421534538269,1.0016613006591797,0.036665455,0.2796766493055556,0.2,16.374906539916992
-0.10211932435563348,0.0,0.01,-0.0023263782285438436,-0.00019092935690689784,4073,-0.0954044201533006,154.33,-0.01617299000420046,0.0005376,-0.24135503181025675,-0.12370219771243776,0.0,0.028126493725393466,-0.4535111917765995,-0.15415350801062683,-0.5,0.0,0.0,-1.915136750072315e-05,-1.1635169033080628,-0.28501345486847673,-0.08283501053079328,0.0,9.44008546260496e-05,0.0,-138.56077787,-0.5685973451903421,0.0,0.649876352,25.08064,147456,-0.16351441236572614,-2.5756011456075045e-06,-0.14172138350302296,0.0,36,8,-0.8758127943295015,0.000299956992,-34.07559394836426,0.004631034273188561,24502,47.1750807762146,0.16561269760131836,1.0018888711929321,0.041015934,0.352630615234375,0.2,15.384005546569824
-0.11836564981915138,0.0,0.01,-0.005053016811466983,-0.0002254661916077749,4116,-0.09520755086878206,171.75,-0.01217713615977217,0.0006144,-0.23798481583130687,-0.11173929416667308,0.0,0.029305347758983413,-0.4467063583209199,-0.2660187115476928,-0.5,0.0,0.0,-2.2954411737159904e-05,-1.1776020255533586,-0.2770351270039024,-0.09749508744838188,0.0,9.27732908166945e-05,0.0,-142.91332595,-0.620105057558255,0.0,0.649858688,25.09216,165888,0.1022723843088,-3.2002304941503383e-06,-0.1453926660752601,0.0,40,9,-1.0352714639500007,0.00029995084799999997,-34.07823508126395,0.004658019569303308,24504,29.665963309151785,0.15161073207855225,1.0019798278808594,0.046162773,0.30409458705357145,0.2,11.527643203735352
-0.13428105719576983,0.0,0.01,-0.004793955950946029,-0.000259129672151304,4155,-0.09647667967927584,177.72,-0.016596810767979767,0.0006912,-0.2270805761589353,-0.12037128275130107,0.0,0.034554378180253344,-0.41480468999037373,-0.2981318617523734,-0.5,0.0,0.0,-2.6350366295195564e-05,-1.1537915646700674,-0.29827891907838633,-0.09503436116419747,0.0,8.029497500198583e-05,0.0,-144.39354867000003,-0.6077262220831403,0.0,0.649841024,25.10368,184320,-0.009616631887483917,-3.6521658831743274e-06,-0.14317813858962108,0.0,44,10,-1.0013305128785828,0.00029994470399999997,-34.07310422261556,0.011725029442459345,24506,19.063313166300457,-0.32532763481140137,1.0015581846237183,0.06884702,0.3188883463541667,0.2,8.210169792175293
-0.13207278599851976,0.0,0.01,-0.003452404473339104,-0.0002872590332808469,4188,-0.0971893817217298,210.19,-0.01988524606839405,0.000768,-0.19811755191022035,-0.12349835753641925,0.0,0.0385458900268226,-0.41584807361697324,-0.28084606884665425,-0.5,0.0,0.0,-3.0328997596569867e-05,-1.1597855351646447,-0.29826854183000273,-0.08869501238023449,0.0,0.00015245197250300812,0.0,-152.51189428,-0.596495111782642,0.0,0.6498233600000001,25.1152,202752,-0.07925707974542745,-4.394163680503919e-06,-0.14465785628221192,0.0,48,11,-0.9292650155594209,0.00029993856,-34.05619430541992,0.01088515529409051,24507,20.94285011291504,0.053172290325164795,1.0002241134643555,0.024307098,0.2457275390625,0.2,9.723779678344727
-0.1431316850007817,0.0,0.01,-0.0021983409856653046,-0.0003241162861416005,4215,-0.09692233038833836,210.62,-0.0171919900433032,0.0008448,-0.20140510059231614,-0.11768091907099756,0.0,0.038032864647317116,-0.3907623030058738,-0.30036400107522343,-0.5,0.0,0.0,-3.429429969358869e-05,-1.137281659038072,-0.28502399904377074,-0.09922579169781778,0.0,4.231757096325358e-05,0.0,-152.62954771,-0.6217521464595347,0.0,0.649805696,25.12672,221184,0.02089139006657551,-4.947528847420637e-06,-0.14550371826787548,0.0,52,12,-0.962841246685004,0.000299932416,-34.0589485168457,0.017229286953806877,24508,28.256646474202473,-0.34242355823516846,1.0004875659942627,0.029103577,0.304443359375,0.2,12.373257637023926
-0.1630216123728437,0.0,0.01,-0.008691381034117917,-0.0003624902919305451,4237,-0.09741897872626265,209.63,-0.016536026584278288,0.0009216,-0.1919367551948469,-0.11688425989451622,0.0,0.037153848546204356,-0.4189248255361587,-0.3217174085793106,-0.5,0.0,0.0,-3.7596307971096146e-05,-1.1776299746688155,-0.29773360393318693,-0.09661444270751154,0.0,0.00012695291985033287,0.0,-152.33508147,-0.6656317238086293,0.0,0.649788032,25.13824,239616,0.09563517908443232,-5.54418058795342e-06,-0.14681789930860478,0.0,56,13,-0.981533423480356,0.000299926272,-34.07916879653931,0.0038062560197431594,24510,26.86017918586731,-0.6413900852203369,1.002211093902588,0.043127045,0.315765380859375,0.2,8.95971965789795
-0.19544637459801872,0.0,0.01,-0.006795220914581377,-0.00040896365444606205,4254,-0.09863146440523927,234.86,-0.02438385031129972,0.0009984,-0.1800722260793858,-0.11845212572624456,0.0,0.0431179275329133,-0.3925960600779287,-0.37774817133065886,-0.5,0.0,0.0,-4.3341707076252086e-05,-1.1747059424502067,-0.3464340643057231,-0.09080331461378804,0.0,0.00023274704128400318,0.0,-158.68959246,-0.6309996649308385,0.0,0.649770368,25.14976,258048,-0.13632717800941455,-6.471580667685374e-06,-0.14468912127754388,0.0,60,14,-0.8974546188506554,0.000299920128,-34.091693531383164,-0.0056166733530434694,24513,26.533571936867453,-0.8505311012268066,1.0032061338424683,0.052763402,0.33369584517045453,0.2,7.644196033477783
-0.18847487712636693,0.0,0.01,-0.010104818596220057,-0.000435824165343055,4272,-0.09872931725293616,243.83,-0.021078888845570166,0.0010752,-0.1883464652529926,-0.11884051973351678,0.0,0.040244035245562075,-0.3921080338153096,-0.3515172299367866,-0.5,0.0,0.0,-4.887323189203099e-05,-1.1466530005810434,-0.3089978023769387,-0.10062774783713377,0.0,0.00017686604405753314,0.0,-160.74559244,-0.6663001207087437,0.0,0.6497527040000001,25.16128,276480,-0.008776721345483414,-7.607861223332872e-06,-0.14795571451694198,0.0,64,15,-0.86975795043866,0.000299913984,-34.077203114827476,0.010175102856010199,24515,15.148439407348633,-0.1772923469543457,1.001970887184143,0.054780662,0.3145345052083333,0.2,6.390449047088623
-0.16868253064565886,0.0,0.01,-0.005811206632643007,-0.000489091831167413,4288,-0.0979926688651546,250.16,-0.02244949305773728,0.001152,-0.19781808331680434,-0.14452683681289752,0.0,0.052267982843652167,-0.3455327124354555,-0.3363719039110516,-0.5,0.0,0.0,-5.707180571654078e-05,-1.1092944864074339,-0.26150694795369445,-0.11237043503523246,0.0,6.781670122614337e-05,0.0,-160.15986400000003,-0.6718613138122708,0.0,0.64973504,25.1728,294912,0.14071471233103125,-8.998632067471026e-06,-0.15019592716581937,0.0,68,16,-0.8046597320123775,0.00029990784,-34.06441116333008,0.017465083704640467,24516,51.71816380818685,0.4577593207359314,1.0008196830749512,0.044919882,0.3490397135416667,0.2,24.43560791015625
-0.18308387052185152,0.0,0.01,-0.006044358707084838,-0.0005203381220593813,4304,-0.09847853475782947,246.25,-0.02633946608066772,0.0012288,-0.19292336342576524,-0.14288043818187604,0.0,0.05198849667529609,-0.3487167487566578,-0.38294100651578195,-0.5,0.0,0.0,-6.0260002291898715e-05,-1.1109558727630169,-0.28217049715545156,-0.10673375882512286,0.0,8.355018346466952e-05,0.0,-160.35931603999998,-0.6681799230124109,0.0,0.649717376,25.18432,313344,0.06618422513850848,-9.569453484619406e-06,-0.14935996405444063,0.0,72,17,-0.8304565932816351,0.00029990169599999997,-34.067461013793945,0.011610826710239053,24517,68.93980884552002,0.900420606136322,1.0010571479797363,0.028521493,0.29132080078125,0.2,26.19970703125
-0.18619022380904798,0.0,0.01,-0.0061454050187926944,-0.0005701276684863329,4316,-0.09791888659428673,250.42,-0.026637374102050075,0.0013056,-0.2002953138433007,-0.15540246383399767,0.0,0.05782262594212368,-0.3225751053273374,-0.398673729447142,-0.5,0.0,0.0,-6.678342294951204e-05,-1.091204546926835,-0.2595060739945938,-0.11351573525116512,0.0,0.00016872810212791793,0.0,-161.18017242,-0.7010291030431598,0.0,0.649699712,25.19584,331776,0.18875085205610975,-1.0881557072107234e-05,-0.15173083768876336,0.0,76,18,-0.8743484373710126,0.00029989555199999996,-34.07152493794759,0.003744993514070908,24519,109.3345578511556,0.7767075300216675,1.0013573169708252,0.04677292,0.2528483072916667,0.2,45.67137908935547
-0.197212011546837,0.0,0.01,-0.0036835261400685543,-0.0006373330915293955,4323,-0.09918798159582477,252.42,-0.027256128364709864,0.0013824,-0.20268052339039133,-0.14488784025461016,0.0,0.06008658439956146,-0.31051765868821507,-0.2888774537580441,-0.5,0.0,0.0,-7.899956516451199e-05,-1.0608213009161447,-0.25586915738552035,-0.10324440363332539,0.0,0.00026150146732106805,0.0,-160.18665459,-0.6498117345398116,0.0,0.6496820480000001,25.20736,350208,0.29015481031228063,-1.368533230145863e-05,-0.14846549282910643,0.0,81,19,-0.7389306179398195,0.00029988940799999996,-34.10207042694092,-0.020660356152802706,24523,68.76036624908447,0.8693810701370239,1.0040605068206787,0.030918341,0.262109375,0.2,21.50760269165039
-0.21306403731422788,0.0,0.01,-0.006462651734990586,-0.0006878871229711803,4328,-0.09934138730665941,298.06,-0.03106956113398947,0.0014592,-0.20924470415150143,-0.14906278187581495,0.0,0.05897780841693044,-0.3120766033101652,-0.2619702697731554,-0.5,0.0,0.0,-8.638962438173025e-05,-1.0402713282483378,-0.27882041410914915,-0.10072308197442674,0.0,0.00021972617509567903,0.0,-158.95315519999997,-0.7155289344647213,0.0,0.649664384,25.21888,368640,0.19598325132316644,-1.4547340253057822e-05,-0.14623057246701557,0.0,85,20,-0.6463174293768585,0.000299883264,-34.08913383483887,-0.022655040840618312,24527,81.58673934936523,0.9703642725944519,1.0030863285064697,0.028230196,0.2494384765625,0.2,23.135597229003906
-0.1884437518924414,0.0,0.01,-0.003983274335041642,-0.0007308387238291339,4334,-0.0986730305357923,270.94,-0.029380646057967728,0.001536,-0.21609641924436293,-0.15064774791556093,0.0,0.0626842644427513,-0.3231284986806327,-0.2934227570864743,-0.5,0.0,0.0,-9.46946079245668e-05,-1.0257389206723864,-0.23879387297610577,-0.1174702184615145,0.0,0.00018283396881694594,0.0,-162.90620156,-0.7633268288783505,0.0,0.64964672,25.2304,387072,0.43779555575599727,-1.647547174768241e-05,-0.1502071188047813,0.0,89,21,-0.7214979267736122,0.00029987712,-34.0794132232666,-0.014920138823799788,24531,154.45998764038086,0.9032613039016724,1.0020947456359863,0.021654189,0.2512939453125,0.2,41.09443664550781
-0.2516639654814138,0.0,0.01,-0.004610579819806541,-0.0007694560908987972,4340,-0.09988913946209137,308.73,-0.03684914353826819,0.0016128,-0.21752119123089914,-0.15857905439197328,0.0,0.05818554429156998,-0.31228521901339007,-0.18651762407892997,-0.5,0.0,0.0,-9.93037205748965e-05,-1.0158962150679491,-0.2792021063903657,-0.09907098843489151,0.0,7.161442772485316e-05,0.0,-169.34932411999998,-0.7441356094881879,0.0,0.649629056,25.24192,405504,-0.0013426613709386485,-1.7178851361868706e-05,-0.14670497735518362,0.0,93,22,-0.5730837212088623,0.000299870976,-34.07347183227539,-0.021805233089253306,24535,113.62379913330078,0.9320447444915771,1.0017746686935425,0.018886168,0.16834716796875,0.2,45.5936279296875
-0.19755723494786614,0.0,0.01,-0.005283730484532296,-0.0008561358254337948,4345,-0.09949803141186064,285.95,-0.03027941738067623,0.0016896,-0.22990423272576432,-0.1513361344698107,0.0,0.06822335104792962,-0.30062360205080946,-0.24269847223761845,-0.5,0.0,0.0,-0.00011483825280498235,-1.0017387481792206,-0.24288623574311513,-0.11345569198886062,0.0,0.00027180967218656506,0.0,-166.07900206,-0.7030693162808442,0.0,0.6496113920000001,25.25344,423936,0.3889283161090675,-2.053935630754893e-05,-0.14624104318100922,0.0,97,23,-0.6138585385463426,0.000299864832,-34.08485774993896,-0.023093365342356266,24539,99.30102348327637,0.8602253198623657,1.0029335021972656,0.023139665,0.197607421875,0.2,36.226802825927734
-0.18974310562892513,0.0,0.01,-0.004446737733410878,-0.0009780852025566427,4350,-0.10015673215263711,309.1,-0.03254350378668416,0.0017664,-0.2388924698637617,-0.1432631593354391,0.0,0.07796537433818423,-0.29462265890102635,-0.19582760093689394,-0.5,0.0,0.0,-0.00013867389392327638,-0.9391640639125222,-0.2420963591275665,-0.10583941076921309,0.0,0.0002734370387366249,0.0,-156.9650018,-0.7676315200907959,0.0,0.649593728,25.26496,442368,0.7914371644028926,-2.5910196714625452e-05,-0.14542854778054054,0.0,101,24,-0.5320895902681413,0.000299858688,-34.08619003295898,-0.021331680193543433,24543,130.65724868774413,0.9593461155891418,1.0027117729187012,0.023157021,0.2205810546875,0.2,50.13584899902344
