reward_terms/action_rate,reward_terms/time,reward_terms/step_rate,curriculum/ctrl_jitter_ms,reward_terms/motor_vel,reward_terms/foot_ahead,curriculum/sprint_dist_m,curriculum/ctrl_drop_prob,reward_terms/clearance,reward_terms/lat_vel,reward_terms/residual,rollout/ep_rew_mean,reward_terms/energy,reward_terms/air_time,time/time_elapsed,reward_terms/ang_xy,curriculum/ent_coef,reward_terms/hip_roll,rollout/ep_len_mean,reward_terms/overrun,reward_terms/residual_rate,reward_terms/stance,reward_terms/assist_pen,curriculum/eff_scale,time/iterations,reward_terms/angmom,time/fps,reward_terms/upright,reward_terms/stance_time,reward_terms/vz,curriculum/stance_ratio,reward_terms/fwd_speed,reward_terms/foot_slip,reward_terms/coef_rate,reward_terms/stop,reward_terms/torque,reward_terms/height,reward_terms/phase_contact,time/total_timesteps,reward_terms/alive,train/approx_kl,train/entropy_loss,train/loss,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/std,train/clip_range,train/n_updates,train/explained_variance,train/clip_fraction
-0.032379737026855926,-0.5,0.0,0.0,0.0,0.0,25.0,0.0,0.05410115567559467,-1.3975807803986313e-08,0.0,-183.9329744893617,0.0,0.0,4,-3.016711406671562e-06,0.01,-0.0038694071898443903,337.8723404255319,0.0,0.0,0.0,0.0,0.0,1,0.0,4084,-4.266856255833318e-08,-0.09189348410776195,-0.1995632848092369,0.65,-1.778797420602654,-0.5954685340509079,-1.3117966332043882,0.0,0.0,-0.0572598223171803,-0.5179616790701991,18432,0.0,,,,,,,,,,,
-0.03281561188006866,-0.5,0.0,0.0,-6.95741707068451e-08,0.0,25.01152,0.0,0.05498113736141946,-1.3018422423507843e-08,0.0,-183.38465109999999,-6.174176417589641e-07,0.0,9,-2.8644365106022545e-06,0.01,-0.004001084280719916,335.63,0.0,0.0,0.0,0.0,7.68e-05,2,0.0,3894,-4.424315231352246e-08,-0.08108811209321073,-0.20820207209045008,0.649982336,-1.7832799028444566,-0.563927685000642,-1.314842127359721,0.0,-8.99351828690735e-06,-0.06087671801290457,-0.5104014339791728,36864,0.0,0.0050898017,-11.359612369537354,133.90855407714844,-0.006087157397996634,267.2416107177734,0.000299990784,1.0023341178894043,0.2,4,0.01853954792022705,0.02603759765625
-0.03307105432576433,-0.5,0.0,0.0,-1.3996593909123399e-07,0.0,25.02304,0.0,0.056690937916419964,-1.3866195305779863e-08,0.0,-183.11498257,-1.2424312860909772e-06,0.0,13,-3.0836869836097605e-06,0.01,-0.003847683207069505,334.5,0.0,0.0,0.0,0.0,0.0001536,3,0.0,4004,-4.463511861018402e-08,-0.08404003705557746,-0.21619780063678345,0.6499646720000001,-1.8075948204663521,-0.57768500858009,-1.3094882617049075,0.0,-1.8047115946930312e-05,-0.06274741431953325,-0.5075016212691437,55296,0.0,0.0034302603,-11.360367441177369,144.4683837890625,-0.003771540883462876,286.5079856872559,0.000299981568,1.002443790435791,0.2,8,0.18543195724487305,0.0080810546875
-0.03230914023434915,-0.5,0.0,0.0,-2.048570155091774e-07,0.0,25.03456,0.0,0.055357811116363384,-1.3317080445837092e-08,0.0,-183.24538407000003,-1.8461052892691752e-06,0.0,18,-2.8683450968606975e-06,0.01,-0.0037100604455509623,335.13,0.0,0.0,0.0,0.0,0.0002304,4,0.0,4056,-4.361564706493896e-08,-0.08965648093241423,-0.205333586836264,0.649947008,-1.7820915509613546,-0.5691993258263252,-1.3040588665976567,0.0,-2.7255373293897525e-05,-0.06035921884710634,-0.5138865502821888,73728,0.0,0.002245571,-11.359208726882935,139.239501953125,-0.0035459716280456634,270.0408317565918,0.00029997235199999997,1.0020431280136108,0.2,12,0.33546537160873413,0.004296875
-0.033227472460452344,-0.5,0.0,0.0,-2.740758613617969e-07,0.0,25.04608,0.0,0.0556110217809663,-1.1476239625996325e-08,0.0,-183.99193517000003,-2.4901566025743208e-06,0.0,22,-3.0103337734928607e-06,0.01,-0.0040828726788904365,338.15,0.0,0.0,0.0,0.0,0.0003072,5,0.0,4088,-4.340932121586291e-08,-0.08895661388103487,-0.2126057477582856,0.649929344,-1.7988122671042257,-0.5764696587409719,-1.3136073145016889,0.0,-3.65561211905651e-05,-0.06165641900012945,-0.5178595900714094,92160,0.0,0.0019479964,-11.35969853401184,114.86946105957031,-0.0024863840313628315,245.123193359375,0.000299963136,1.0021610260009766,0.2,16,0.4452979564666748,0.00224609375
-0.03241081278820618,-0.5,0.0,0.0,-3.470861111225088e-07,0.0,25.0576,0.0,0.055472407030740495,-1.2716030555709015e-08,0.0,-183.47783558000003,-3.0787440150159432e-06,0.0,26,-3.03159894887745e-06,0.01,-0.004509916424576158,336.06,0.0,0.0,-4.646483355381813e-05,0.0,0.000384,6,0.0,4110,-4.170535616667456e-08,-0.08339930105850929,-0.21153031141988377,0.64991168,-1.7863179970755567,-0.5830414087271422,-1.3176753724457198,0.0,-4.4957409477653204e-05,-0.061114883487243046,-0.513445850174283,110592,0.0,0.002584021,-11.358143186569214,114.16651916503906,-0.003367426909971982,237.35880432128906,0.00029995392,1.001753807067871,0.2,20,0.5090444087982178,0.00465087890625
-0.032820096479412045,-0.5,0.0,0.0,-4.091270751689733e-07,0.0,25.06912,0.0,0.056935339802927504,-1.146226666788728e-08,0.0,-183.36401866,-3.6917726386208227e-06,0.0,31,-2.8626921111706306e-06,0.01,-0.0043368023098424675,335.58,0.0,0.0,0.0,0.0,0.0004608,7,0.0,4128,-4.422827212382541e-08,-0.08979252306906144,-0.21400606448205758,0.6498940160000001,-1.8124355164962371,-0.5668102748500101,-1.3100896544256058,0.0,-5.505680095553284e-05,-0.0632229839633395,-0.5117197116460817,129024,0.0,0.0022135477,-11.356580066680909,111.94462585449219,-0.0035145838221069424,228.68322067260743,0.00029994470399999997,1.0014601945877075,0.2,24,0.546266496181488,0.0041015625
-0.03255329080414994,-0.5,0.0,0.0,-4.845883109036921e-07,0.0,25.08064,0.0,0.05601428527632373,-1.1984024222351252e-08,0.0,-183.70655970000004,-4.3838605476903e-06,0.0,35,-2.7693924101104348e-06,0.01,-0.004873621341970795,336.97,0.0,0.0,0.0,0.0,0.0005376,8,0.0,4139,-4.277313067223492e-08,-0.08650178366871034,-0.21107118308450587,0.649876352,-1.8001237784753923,-0.5724660982566214,-1.3113008823609003,0.0,-6.445825357084745e-05,-0.06064417831667162,-0.5113425213975595,147456,0.0,0.002432169,-11.355675172805785,93.26180267333984,-0.0032465977128595114,215.7469383239746,0.000299935488,1.0010862350463867,0.2,28,0.5571887493133545,0.0035400390625
-0.032875815799150214,-0.5,0.0,0.0,-5.421824773925129e-07,0.0,25.09216,0.0,0.05623666798097812,-1.2333163349029567e-08,0.0,-182.48659192,-4.8761329334068e-06,0.0,39,-2.633646242663821e-06,0.01,-0.004501732872754682,332.09,0.0,0.0,0.0,0.0,0.0006144,9,0.0,4151,-4.154190740512855e-08,-0.07952750719818545,-0.21539223973231716,0.649858688,-1.7942403561096585,-0.5452322598950108,-1.3137147850968578,0.0,-7.366930742903008e-05,-0.0615798497261059,-0.507073051804649,165888,0.0,0.0022196718,-11.353578281402587,89.10408782958984,-0.0029847803059965374,204.8741539001465,0.000299926272,1.0008056163787842,0.2,32,0.5493625998497009,0.00289306640625
-0.031627257383316176,-0.5,0.0,0.0,-6.044000332455373e-07,0.0,25.10368,0.0,0.05722878751052242,-1.2065720779526245e-08,0.0,-182.03023172999997,-5.569021350540085e-06,0.0,44,-2.724813264942323e-06,0.01,-0.004815300947026947,330.22,0.0,0.0,0.0,0.0,0.0006912,10,0.0,4160,-4.301396797515093e-08,-0.08132465144121347,-0.2109227241155909,0.649841024,-1.813149024713332,-0.5176860318588585,-1.3178647981432425,0.0,-8.524604654051098e-05,-0.06201827173817184,-0.5008516593983638,184320,0.0,0.0029512928,-11.35643630027771,111.35785675048828,-0.003697295964229852,201.4152603149414,0.000299917056,1.001682996749878,0.2,36,0.5453115105628967,0.00509033203125
