curriculum/cmd_track_err,ankle/ankle_spring_energy_peak,curriculum/ctrl_drop_prob,curriculum/swing_frac_min,reward_terms/overrun,reward_terms/stand,ankle/ankle_spring_trq_peak,reward_terms/fwd_speed,reward_terms/stance,reward_terms/energy,reward_terms/residual_rate,curriculum/cmd_scale,time/fps,reward_terms/lat_vel,curriculum/stance_ratio,reward_terms/coef_rate,reward_terms/alive,reward_terms/torque,reward_terms/height,reward_terms/angmom,curriculum/ent_coef,time/time_elapsed,time/total_timesteps,curriculum/dr_scale,reward_terms/motor_vel,reward_terms/air_time,reward_terms/action_rate,reward_terms/clearance,reward_terms/ang_xy,rollout/ep_rew_mean,curriculum/eff_scale,reward_terms/stop,reward_terms/assist_pen,reward_terms/stand_drift,reward_terms/track_lin,curriculum/swing_frac_mean,reward_terms/phase_contact,reward_terms/hip_roll,rollout/ep_len_mean,reward_terms/time,est/vel_rmse,reward_terms/step_rate,reward_terms/stance_time,reward_terms/vz,time/iterations,reward_terms/foot_ahead,reward_terms/foot_slip,reward_terms/upright,curriculum/ctrl_jitter_ms,reward_terms/duty_sym,ankle/ankle_defl_peak,reward_terms/residual,reward_terms/track_yaw,train/clip_range,train/explained_variance,train/learning_rate,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/std,train/loss,train/approx_kl,train/n_updates,curriculum/eff_scale_progress,curriculum/ctrl_drop_prob_progress,curriculum/dr_scale_progress,curriculum/stance_ratio_progress,curriculum/ctrl_jitter_ms_progress
0.5842393723052627,0.0,0.0,0.1100802951388889,0.0,0.6528934777066094,0.0,0.0,-0.007238694703611187,0.0,0.0,0.0,8367,-9.482412821398153e-09,0.7,-0.8603983517750012,0.0,0.0,-0.01718219516183067,-0.11369055488205171,0.01,2,18432,0.0,0.0,2.007375587709248e-05,-0.1373661814867392,0.015493444882398994,-0.07636184787293027,-64.39507549999999,0.0,0.0,0.0,-0.011158395305040921,0.9064814547708452,0.3607042100694444,-0.024075135801120938,-0.10898863960713329,107.4,0.0,0.8616062675375625,-0.007855902777777798,0.0,-0.09547869999057282,1,0.0,-0.4428262321705663,-0.25948501133387974,0.0,-0.0002933578918981162,0.5052001403247325,-0.08619972283910048,1.9998824227916812,,,,,,,,,,,,,,,,
0.3987262935709425,0.0,0.0,0.08241102430555555,0.0,0.5503483207910321,0.0,0.0,-8.465316057782143e-05,0.0,0.0,0.0,9261,-8.59978075589093e-09,0.7,-0.8469369953854265,0.0,0.0,-0.025351461848870206,-0.13001872506288478,0.01,3,36864,0.0,0.0,0.0,-0.1467441477036083,0.0,-0.06948496324605404,-61.45129999999999,0.0,0.0,0.0,-0.035786808606226614,0.7552831455009266,0.37646484375,0.0,-0.10615737471254894,114.4,0.0,0.6724731311252089,-0.006944444444444511,0.0,-0.10000070337592076,2,0.0,-0.3024992169836054,-0.41098942668173966,0.0,-0.0020223943293884807,0.5051733412009016,-0.0873362471052261,1.999882703396773,0.2,0.5568350553512573,0.00029995392,-36.876407623291016,0.501220703125,0.0429745689034462,13437.0146484375,0.9993860721588135,6718.181640625,0.09274456,21705,,,,,
0.4180124387164639,0.0,0.0,0.08349609375,0.0,0.5538729393595774,0.0,0.0,-1.694134604455736e-05,0.0,0.0,0.0,9072,-9.195674009760515e-09,0.7,-0.8569414298650825,0.0,0.0,-0.022679153470320037,-0.12113798858275587,0.01,6,55296,0.0,0.0,0.0,-0.14771325775751898,0.0,-0.06947006439548886,-66.28359778000001,0.0,0.0,0.0,-0.031622054107367646,0.7601012792321992,0.3684353298611111,0.0,-0.1112390177755692,108.72,0.0,0.4242707503396988,-0.007378472222222269,0.0,-0.09799879128326673,3,0.0,-0.3301439868685281,-0.36653417977287206,0.0,-0.0024924992799187445,0.5052305527016425,-0.08716493697618169,1.9998889361568866,0.2,0.5258100032806396,0.00029990784,-36.88152160644531,0.20455322265625,0.005433231510687619,9469.008056640625,0.9997363686561584,2949.953125,0.017860632,21709,,,,,
0.40900880362092623,0.0,0.0,0.0901150173611111,0.0,0.5465426277930638,0.0,0.0,-5.60888740362901e-05,0.0,0.0,0.0,8629,-9.088297817989617e-09,0.7,-0.8231483881388065,0.0,0.0,-0.019524528959087836,-0.10968831219177112,0.01,8,73728,0.0,0.0,0.0,-0.14505350645242587,0.0,-0.06720050616612411,-64.11350799,0.0,0.0,0.0,-0.02088040754849886,0.758416021543196,0.35408528645833337,0.0,-0.11924416452511404,102.8,0.0,0.3371912161805262,-0.007628038194444475,0.0,-0.08888368124861122,4,0.0,-0.3428501786437237,-0.3084969462578355,0.0,-0.0014622384312631277,0.5052112390834302,-0.08692569330453143,1.9998820682124812,0.2,0.7961037158966064,0.00029986176,-36.880296325683595,0.15216064453125,0.003638680442236364,5715.099255371094,0.9996349811553955,1668.46484375,0.009536877,21713,,,,,
0.4107325501134865,0.0,0.0,0.0866970486111111,0.0,0.5656751682447007,0.0,0.0,-0.0004259463873621879,0.0,0.0,0.0,8116,-8.656791281170491e-09,0.7,-0.8498060253738134,0.0,0.0,-0.021152726016111942,-0.11586319090777425,0.01,11,92160,0.0,0.0,0.0,-0.14793469792115274,0.0,-0.06851500069907739,-66.37737532,0.0,0.0,0.0,-0.0220999606206412,0.7844525404703504,0.3597547743055556,0.0,-0.10836446294398969,100.73,0.0,0.2917752815846305,-0.007280815972222271,0.0,-0.09729056656196117,5,0.0,-0.36850335800451456,-0.3114671898788844,0.0,-0.001277801757982702,0.5051182035072785,-0.08668828008151591,1.9999049037332834,0.2,0.8718078136444092,0.00029981568,-36.881848907470705,0.0294677734375,-0.00322839017608203,4195.17109375,0.9997196197509766,1054.31201171875,0.0051764054,21717,,,,,
0.3899105706439777,0.0,0.0,0.07752821180555555,0.0,0.6073809527561109,0.0,0.0,-0.00015157208563433056,0.0,0.0,0.0,7751,-7.883297122568697e-09,0.7,-0.8304736759009861,0.0,0.0,-0.016407981916680043,-0.096939103218654,0.01,14,110592,0.0,0.0,0.0,-0.1502940075133081,0.0,-0.05885419419949535,-62.90808221,0.0,0.0,0.0,-0.013040349762123303,0.8335817078690433,0.341064453125,0.0,-0.11301114336058772,96.87,0.0,0.23238568064217677,-0.007269965277777827,0.0,-0.07814991823886488,6,0.0,-0.35697510025843027,-0.25635152395818156,0.0,-0.0005875926207775518,0.5051683621656031,-0.08694470335764876,1.9999244364533648,0.2,0.8714672923088074,0.00029976959999999996,-36.8836311340332,0.021875,-0.004174691281514242,3073.81640625,0.9997685551643372,768.9966430664062,0.005714208,21721,,,,,
0.41810187222146195,0.0,0.0,0.0910915798611111,0.0,0.619704083372145,0.0,0.0,-3.805283479674686e-05,0.0,0.0,0.0,7406,-8.786187587458276e-09,0.7,-0.8324466040019078,0.0,0.0,-0.01588890704551847,-0.09800599285640814,0.01,17,129024,0.0,0.0,0.0,-0.1468899964561875,0.0,-0.06232376976762746,-64.72021498,0.0,0.0,0.0,-0.01235547925291875,0.852502306947541,0.331787109375,0.0,-0.12409465561757188,97.6,0.0,0.21501308183737133,-0.007617187500000033,0.0,-0.07913478955883832,7,0.0,-0.36424060489299376,-0.2449285944061424,0.0,-0.00012427255823859164,0.50473947643499,-0.08720726841205664,1.999917565469589,0.2,0.8052396178245544,0.00029972352,-36.88458404541016,0.0224609375,-0.0038044456217903645,2237.292630004883,0.9998241662979126,486.9952087402344,0.0063622543,21725,,,,,
0.4067809946132795,0.0,0.0,0.08403862847222222,0.0,0.5964912870656804,0.0,0.0,-0.0006106829202178715,0.0,0.0,0.0,7305,-7.838597799633219e-09,0.7,-0.8092836826322869,0.0,0.0,-0.015120943906944913,-0.09237482536206615,0.01,20,147456,0.0,0.0,0.0,-0.1532440768589599,0.0,-0.05661456741586571,-60.096699410000014,0.0,0.0,0.0,-0.014226377970651106,0.8205951378710532,0.3357204861111111,0.0,-0.11086158568702154,102.95,0.0,0.22861000296594003,-0.006955295138888956,0.0,-0.07271172694248712,8,0.0,-0.36013461626888604,-0.24253779682066673,0.0,-0.00027635048792850497,0.5051592608241222,-0.08715640805950892,1.9999235865419591,0.2,0.7258385419845581,0.00029967744,-36.88739128112793,0.033056640625,-0.005034477094886825,1478.9098693847657,0.9999991059303284,340.97381591796875,0.0075988234,21729,,,,,
0.3960815465476753,0.0,0.0,0.0778537326388889,0.0,0.572715368255481,0.0,0.0,-1.8313142112024404e-05,0.0,0.0,0.0,7163,-8.568536618751364e-09,0.7,-0.8128785799100915,0.0,0.0,-0.01491396537824389,-0.0922045895521598,0.01,23,165888,0.0,0.0,0.0,-0.14983847701189024,0.0,-0.05850228380102047,-62.003718899999996,0.0,0.0,0.0,-0.010164613328391768,0.7925477800473103,0.32820638020833337,0.0,-0.11908479268635751,100.61,0.0,0.20167357651804085,-0.007519531250000043,0.0,-0.07411559868421241,9,0.0,-0.36873650870067043,-0.24197215030130007,0.0,-0.0004789286745440176,0.5052012005302737,-0.08724750833613419,1.9999203004523405,0.2,0.6609489321708679,0.00029963136,-36.892126655578615,0.06671142578125,-0.009841610642615706,1003.8172821044922,1.0003612041473389,314.33697509765625,0.009504557,21733,,,,,
0.4449499272538288,0.0,0.0,0.08116319444444445,0.0,0.5729917126394184,0.0,0.0,-2.3174534303071986e-05,0.0,0.0,0.0,7060,-6.887121031816022e-09,0.7,-0.8231389107231994,0.0,0.0,-0.013565786640253695,-0.0868432892238755,0.01,26,184320,0.0,0.0,0.0,-0.1552773278876884,0.0,-0.05779139538374264,-59.01959927,0.0,0.0,0.0,-0.012298630114961077,0.7962859954850943,0.3317599826388889,0.0,-0.10212676869371631,99.24,0.0,0.198279335036774,-0.007313368055555602,0.0,-0.06982341215152103,10,0.0,-0.3598378871734023,-0.23551912603535113,0.0,-0.0006254346886368952,0.5051842031965522,-0.08673319751916704,1.9999279790233184,0.2,0.6516710519790649,0.00029958527999999996,-36.89673271179199,0.09561767578125,-0.010650660510873423,718.6362991333008,1.0006543397903442,213.17918395996094,0.009104727,21737,,,,,
0.3965269327620153,0.0,0.0,0.0675998263888889,0.0,0.6189309320989103,0.0,0.0,-2.8516765717304846e-05,0.0,0.0,0.0,6987,-7.2005561588582964e-09,0.7,-0.8304527611241295,0.0,0.0,-0.01320458673692109,-0.08688296150612919,0.01,29,202752,0.0,0.0,0.0,-0.15719530235160006,0.0,-0.058156843383381895,-62.888266669999986,0.0,0.0,0.0,-0.010599523382060709,0.8534414942392771,0.3291015625,0.0,-0.09553537785852133,98.11,0.0,0.2044468108861375,-0.007128906250000057,0.0,-0.07218839491871448,11,0.0,-0.37132008260708277,-0.22038278319651117,0.0,-0.0007524095034620513,0.5052223044850417,-0.08655427507773056,1.999938642801823,0.2,0.6982965469360352,0.0002995392,-36.90366172790527,0.10751953125,-0.01698500844067894,418.505322265625,1.0011601448059082,135.61346435546875,0.011283991,21741,,,,,
0.4264342022555062,0.0,0.0,0.0763888888888889,0.0,0.5848272205920808,0.0,0.0,-2.8251159063065112e-05,0.0,0.0,0.0,6897,-7.046365190453334e-09,0.7,-0.8149545727210838,0.0,0.0,-0.010895185901153188,-0.08143935645782947,0.01,32,221184,0.0,0.0,0.0,-0.15634778209713535,0.0,-0.05825797753299817,-63.23151516,0.0,0.0,0.0,-0.006643239846002795,0.8182395988292569,0.32275390625,0.0,-0.09766826342976935,95.94,0.0,0.181190527827165,-0.007161458333333392,0.0,-0.0646835792383429,12,0.0,-0.3750061795653616,-0.19869079461045558,0.0,-0.0002916345298438857,0.5051619257063614,-0.08672374138560797,1.999948060400758,0.2,0.6606531143188477,0.00029949311999999997,-36.90850772857666,0.16878662109375,-0.01311046672053635,377.543522644043,1.0015312433242798,109.45249938964844,0.014275283,21745,,,,,
0.40975678044426833,0.0,0.0,0.0759548611111111,0.0,0.6573886317794946,0.0,0.0,-1.805859523640503e-05,0.0,0.0,0.0,6853,-6.867143826008026e-09,0.7,-0.8072693445626213,0.0,0.0,-0.011041574564871844,-0.08173855251700657,0.01,34,239616,0.0,0.0,0.0,-0.15555199257535185,0.0,-0.055186227182361054,-58.860829970000005,0.0,0.0,0.0,-0.0067088975996222495,0.8978806473829581,0.31789822048611116,0.0,-0.09828131221440127,98.27,0.0,0.17950268238422346,-0.0072916666666667145,0.0,-0.06254319152187199,13,0.0,-0.3705469826987929,-0.18633815342491478,0.0,-9.146873033479253e-06,0.5051855227895403,-0.08689900991299299,1.9999394070354215,0.2,0.7077533006668091,0.00029944704,-36.915519905090335,0.202490234375,-0.016565827687736602,260.84154205322267,1.0020184516906738,88.70867919921875,0.018891156,21749,,,,,
