reward_terms/step_rate,reward_terms/coef_rate,reward_terms/hip_roll,ankle/ankle_spring_trq_peak,reward_terms/torque,reward_terms/foot_ahead,reward_terms/air_time,reward_terms/stance,curriculum/ctrl_drop_prob,reward_terms/stance_time,reward_terms/residual_rate,reward_terms/stop,reward_terms/residual,ankle/ankle_spring_energy_peak,reward_terms/upright,reward_terms/foot_slip,reward_terms/ang_xy,reward_terms/assist_pen,reward_terms/clearance,curriculum/ctrl_jitter_ms,time/fps,curriculum/sprint_dist_m,reward_terms/alive,reward_terms/angmom,reward_terms/energy,reward_terms/overrun,reward_terms/time,reward_terms/height,time/iterations,reward_terms/phase_contact,curriculum/ent_coef,reward_terms/vz,curriculum/eff_scale,curriculum/stance_ratio,rollout/ep_len_mean,reward_terms/motor_vel,rollout/ep_rew_mean,time/time_elapsed,reward_terms/fwd_speed,ankle/ankle_defl_peak,time/total_timesteps,reward_terms/lat_vel,reward_terms/duty_sym,reward_terms/action_rate,train/explained_variance,train/clip_range,train/clip_fraction,train/entropy_loss,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/std,train/learning_rate,train/n_updates,train/loss
-0.012098524305555351,-0.5336283006142923,-0.0321389268440022,25.669092485928665,-0.2711954517985143,0.0,0.0009022337617352605,-0.00029268745997449173,0.0,0.0,0.0,0.0,-0.10526987469507838,13.652573127409374,-0.18563202022871977,-0.5572405827006632,-0.4431277689260922,0.0,0.19774679706790255,0.0,2916,61.87463125,0.0,-0.09317812862492797,-0.024033683741477223,0.0,-0.5,-0.025563192061049244,1,-0.30442135660818836,0.01,-0.35179902366580307,0.245830875,0.59345889875,203.5,-0.003838791712496182,-86.2523731,6,1.7478411598624992,0.8959543625105992,59017842,-4.47235342534696e-08,0.0,-0.06159965156963739,,,,,,,,,,,
-0.010970052083333189,-0.4962003480161143,-0.03714725342607456,25.846041422535052,-0.2747487489675772,0.0,0.0010221339859223615,-0.0005935499787441008,0.0,0.0,0.0,0.0,-0.10551438084079716,13.89811443574743,-0.19939358633306645,-0.5144062813921833,-0.43919212118568,0.0,0.213859020031823,0.0,3325,61.88615125,0.0,-0.09134756593075061,-0.02414146444655897,0.0,-0.5,-0.027374219276014303,2,-0.281217193362836,0.01,-0.3902798782904677,0.245907675,0.59344123475,233.13,-0.0037927081071728926,-78.29938268999999,11,1.9156050880389435,0.9021305906643997,59036274,-4.580028877372742e-08,0.0,-0.05942025064859159,0.9507772326469421,0.2,0.19978841145833334,-34.05776723225912,18.47793992360433,0.051307242,0.006617713098724683,1.0003087520599365,0.000270491079,12606,8.086990356445312
-0.010980902777777636,-0.4810725937041506,-0.039115661368172544,25.875276526289333,-0.27080133229426573,0.0,0.001329208216500572,-0.0007650199205120603,0.0,0.0,0.0,0.0,-0.10577030125275304,13.600582411745684,-0.18544320644693899,-0.5159844361276718,-0.42582835258609575,0.0,0.2219241629832557,0.0,3566,61.89767125,0.0,-0.08810661194093666,-0.023702650894252192,0.0,-0.5,-0.026093427743809294,3,-0.2756007418469337,0.01,-0.3955712733129063,0.245984475,0.59342357075,235.85,-0.0037358126060770516,-78.74866254,15,1.9671469915545714,0.9031510131340083,59054706,-4.413315890183102e-08,0.0,-0.058793244649038824,0.9863598346710205,0.2,0.274267578125,-34.06994571685791,4.1130976498126985,0.03246988,-0.010310459695756436,1.001631259918213,0.000270481863,12610,0.6350522041320801
-0.010937499999999857,-0.48194665480471166,-0.03921415431398293,25.94930748773339,-0.2718558727376319,0.0,0.0010552284980399741,-0.0008051859175923892,0.0,0.0,0.0,0.0,-0.10561203318099317,13.74632157216973,-0.19488720918364805,-0.5042442020816309,-0.41423604038855805,0.0,0.22614429636926822,0.0,3697,61.90919125,0.0,-0.09080414253430286,-0.023657389282977736,0.0,-0.5,-0.027461904739777568,4,-0.27335063024497563,0.01,-0.40517887572814176,0.246061275,0.59340590675,237.36,-0.0036721321095359045,-78.67709407000001,19,1.9836968306580107,0.9057349908458426,59073138,-4.327804593611527e-08,0.0,-0.05871712619222268,0.9943172335624695,0.2,0.27677001953125,-34.07996425628662,1.5707780867815018,0.038800906,-0.01620949349598959,1.0023674964904785,0.00027047264699999997,12614,0.47746312618255615
-0.011046006944444303,-0.49935377109936396,-0.03984774143350996,26.25808448304458,-0.27182605122467524,0.0,0.0011333533847290608,-0.0004955612391096754,0.0,0.0,0.0,0.0,-0.10564656539844232,14.183261971481196,-0.19367693968684832,-0.5315313568081235,-0.4354395223846066,0.0,0.2162000032530871,0.0,3782,61.920711250000004,0.0,-0.09214587510144236,-0.023928833014482145,0.0,-0.5,-0.027940131998730473,5,-0.2812186946715231,0.01,-0.39399696353956276,0.246138075,0.59338824275,235.59,-0.0037963552081147402,-78.32956667,24,1.9607414374425243,0.916512547401207,59091570,-4.5422668927465796e-08,0.0,-0.05950494674037819,0.9905426502227783,0.2,0.2813720703125,-34.07734317779541,2.4100297033786773,0.028402865,-0.0073681834386661645,1.0020090341567993,0.000270463431,12618,0.3753409683704376
-0.011111111111110968,-0.4841753836460416,-0.039958487023253914,26.041007277943333,-0.2721700417704458,0.0,0.0013178149529267102,-0.00110787972638898,0.0,0.0,0.0,0.0,-0.10582812106958438,13.822996218698925,-0.19852265495847163,-0.5144670682179115,-0.4267247573148234,0.0,0.22197917984983884,0.0,3843,61.93223125,0.0,-0.09114826617234308,-0.02375553004982043,0.0,-0.5,-0.02782535406149853,6,-0.2806671213120157,0.01,-0.3978867013989389,0.246214875,0.59337057875,236.18,-0.003730881851269786,-79.13781121,28,1.9649320374592802,0.9089356816036067,59110002,-4.417710304729934e-08,0.0,-0.058652475323642976,0.9917799234390259,0.2,0.23662109375,-34.07351169586182,2.0689190566539764,0.030699152,-0.01582362379413098,1.0017712116241455,0.000270454215,12622,0.455210417509079
-0.01123046874999984,-0.48445971562764356,-0.03695970990872324,26.078852761103423,-0.27246272629884544,0.0,0.0012071379428056793,-0.00044792956686335255,0.0,0.0,0.0,0.0,-0.10570255807419503,14.074521954901654,-0.1873395345831876,-0.5098122513075014,-0.42205762744665676,0.0,0.2223590043106983,0.0,3884,61.94375125,0.0,-0.08752217788239441,-0.023732557408602306,0.0,-0.5,-0.028328490336408878,7,-0.27814114491982384,0.01,-0.40094771258118894,0.246291675,0.5933529147500001,237.77,-0.003739202376594253,-77.09275921,33,2.0174739968788393,0.9102566408762103,59128434,-4.211839501852399e-08,0.0,-0.05902735577411947,0.9946815371513367,0.2,0.255126953125,-34.08059368133545,1.5317627608776092,0.030176941,-0.017807448119856416,1.0024545192718506,0.000270444999,12626,0.41873598098754883
-0.011349826388888729,-0.4913170860156423,-0.03909057174597996,25.765071208348985,-0.2735755703119805,0.0,0.001089950570733183,-0.0011215968470747314,0.0,0.0,0.0,0.0,-0.10572441511038494,13.949535924613668,-0.19419059124527124,-0.5337786642719453,-0.4340646155805385,0.0,0.22128488585415546,0.0,3920,61.95527125,0.0,-0.09106439606403786,-0.02405172874572435,0.0,-0.5,-0.029061853671452857,8,-0.28695481636949166,0.01,-0.395137727819306,0.246368475,0.59333525075,233.04,-0.0038268883824026686,-77.52836,37,1.963610113046366,0.899304405177975,59146866,-4.433046873757573e-08,0.0,-0.05916593605906379,0.997391939163208,0.2,0.29505615234375,-34.085692405700684,0.7970051139593124,0.0385993,-0.018246777669992297,1.0028986930847168,0.000270435783,12630,0.014659523963928223
-0.011707899305555373,-0.4886136385109776,-0.038225480241060296,26.08838059137173,-0.27363446199885344,0.0,0.0013460265537206498,-0.0007918972859865484,0.0,0.0,0.0,0.0,-0.10558622990430665,13.963504573208539,-0.18570159096093716,-0.5317748584475313,-0.4328099740403599,0.0,0.22297801063588196,0.0,3951,61.96679125,0.0,-0.09167821736523091,-0.024072061814250797,0.0,-0.5,-0.02818686171700406,9,-0.28385414977562085,0.01,-0.39500348710624,0.246445275,0.59331758675,233.46,-0.0038208564220968324,-77.66967532000001,41,1.9981522702408674,0.9105892003969192,59165298,-4.448595842853466e-08,0.0,-0.05969017136329328,0.9850626587867737,0.2,0.320709228515625,-34.07848930358887,5.143778741359711,0.04787114,-0.005987100113998167,1.002018690109253,0.000270426567,12634,2.487295150756836
-0.01192491319444425,-0.4912963893856532,-0.03989409727397827,25.867856550254476,-0.27652946656524663,0.0,0.0012158183380961418,-0.0006493104933477679,0.0,0.0,0.0,0.0,-0.10543269937434735,13.95245546436773,-0.19398949622016415,-0.5317939583206336,-0.43116837728424023,0.0,0.21785609341327097,0.0,3971,61.978311250000004,0.0,-0.09434701509510512,-0.0241475220645065,0.0,-0.5,-0.028568860754860554,10,-0.2858548113364993,0.01,-0.3841474528238305,0.246522075,0.59329992275,234.36,-0.0038040180169555166,-76.80265798,46,2.0097352757734575,0.9028920261868928,59183730,-4.393171326181536e-08,0.0,-0.059467624668063955,0.986283004283905,0.2,0.19752197265625,-34.07735805511474,4.067804837226868,0.025623798,-0.013521472935099154,1.0021198987960815,0.00027041735099999996,12638,2.503005027770996
