reward_terms/angmom,curriculum/ctrl_drop_prob,time/fps,time/time_elapsed,reward_terms/lat_vel,curriculum/ctrl_jitter_ms,rollout/ep_rew_mean,reward_terms/assist_pen,reward_terms/step_rate,curriculum/stance_ratio,reward_terms/coef_rate,reward_terms/hip_roll,curriculum/ent_coef,reward_terms/overrun,reward_terms/fwd_speed,rollout/ep_len_mean,reward_terms/phase_contact,reward_terms/residual_rate,reward_terms/time,reward_terms/energy,time/iterations,reward_terms/action_rate,reward_terms/torque,reward_terms/stop,reward_terms/stance_time,curriculum/sprint_dist_m,reward_terms/foot_slip,reward_terms/stance,reward_terms/alive,reward_terms/ang_xy,reward_terms/foot_ahead,reward_terms/clearance,curriculum/eff_scale,reward_terms/residual,reward_terms/motor_vel,reward_terms/vz,reward_terms/air_time,reward_terms/height,reward_terms/upright,time/total_timesteps,train/loss,train/approx_kl,train/std,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/clip_range,train/value_loss,train/entropy_loss
-0.18534052197107725,0.0,4365,4,-9.203606108698817e-08,0.0,-125.36752113000003,0.0,0.0,0.65,-1.2340263179986355,-0.03662610923276794,0.01,0.0,-0.08516371533935535,102.29,-0.3539601927832167,0.0,-0.5,0.0,1,-0.08529194271296452,0.0,0.0,0.0,25.0,-0.5022460449396972,-0.0014794442122376414,0.0,-0.3846487474609019,0.0,0.08017168441873523,0.0,-0.10198633868965412,0.0,-0.1634464743138805,0.00038736922174899117,-0.01751371210093854,-0.42287381118390016,18432,,,,,,,,,,,
-0.134926460382468,0.0,4193,8,-7.46129759132417e-08,0.0,-122.54096448999996,0.0,0.0,0.649982336,-1.249606011215639,-0.008091467951998473,0.01,0.0,-0.09132876338279693,90.81,-0.37009975967424535,0.0,-0.5,-4.440045177464785e-06,2,-0.08633651946049158,-3.211373504152887e-05,0.0,0.0,25.01152,-0.5524342980838659,-4.069044344168552e-05,0.0,-0.33842487094084783,0.0,0.06314585428968336,7.68e-05,-0.10142154117608686,-7.409717156259143e-07,-0.1095393731524221,0.00019965246125745276,-0.007145484142964731,-0.38680716102169654,36864,48.90412521362305,0.04264805,1.00248384475708,0.6475976705551147,-0.027709594315015955,0.27347604851973684,155410,0.0002999852544,0.2,176.84438845985815,-34.082747208444694
-0.11907772094606811,0.0,4307,12,-8.274010099099733e-08,0.0,-125.15072342000002,0.0,0.0,0.6499646720000001,-1.2675760461836352,-0.01062679393334748,0.01,0.0,-0.08338389004961805,101.32,-0.37426099042683203,0.0,-0.5,-9.371426208730291e-06,3,-0.09096700152894327,-6.805505106298046e-05,0.0,0.0,25.02304,-0.5840879875722581,-0.0003753215545955827,0.0,-0.33103251794665295,0.0,0.0668900309036172,0.0001536,-0.10160615177072349,-1.6241566410510854e-06,-0.13484196727261677,0.000263671510361342,-0.009404239532865384,-0.41879326527101723,55296,33.74004364013672,0.022194635,1.0004258155822754,-0.6728253364562988,0.014753133407793939,0.2652587890625,155411,0.0002999705088,0.2,78.39435577392578,-34.0596399307251
-0.13160148560603513,0.0,4370,16,-8.108104268214886e-08,0.0,-122.62076073,0.0,0.0,0.649947008,-1.2599344965017147,-0.011500231924810736,0.01,0.0,-0.09684008924552301,91.24,-0.3773074473140386,0.0,-0.5,-1.3764380234207827e-05,4,-0.0908746038639085,-0.00010191856007046083,0.0,0.0,25.03456,-0.6033558184637453,-0.0012337143323713558,0.0,-0.355852026445422,0.0,0.05857097963330507,0.0002304,-0.10122779560421939,-2.33964579905435e-06,-0.13663626491139427,0.00026150132826943364,-0.008972876613341438,-0.37862946006732745,73728,33.1020622253418,0.027489621,1.0005099773406982,-0.5695217847824097,0.018583481665700674,0.28759765625,155412,0.00029995576319999997,0.2,74.37474250793457,-34.060203552246094
-0.1291424067212833,0.0,4407,20,-9.221277666256868e-08,0.0,-121.23577467000001,0.0,0.0,0.649929344,-1.2861582904065552,-0.010731286255623803,0.01,0.0,-0.033965362946866924,85.65,-0.4070432002120297,0.0,-0.5,-1.9064264312918953e-05,5,-0.09768882655779228,-0.00013702363390149995,0.0,0.0,25.04608,-0.6831723927663196,-0.00022641834789638554,0.0,-0.36004565726158516,0.0,0.05280766138997731,0.0003072,-0.1007705010971138,-3.338393888246641e-06,-0.10256374362650052,0.00012478275069346031,-0.005876558888506437,-0.3820524595712722,92160,27.75568962097168,0.026582954,1.0006585121154785,-0.878225564956665,0.01709635218139738,0.2877197265625,155413,0.0002999410176,0.2,62.63861274719238,-34.06209182739258
-0.16146604621642305,0.0,4430,24,-8.747536404818792e-08,0.0,-122.10299641999998,0.0,0.0,0.64991168,-1.2900501361588537,-0.014498891400029974,0.01,0.0,0.03712442678889508,89.38,-0.3879914746004942,0.0,-0.5,-2.3752298975828238e-05,6,-0.09890175136089532,-0.00017064099125356575,0.0,0.0,25.0576,-0.6630659675236111,-0.00015063425322808934,0.0,-0.3839411125954211,0.0,0.06677847349738564,0.000384,-0.10055617077081719,-4.230520856734658e-06,-0.13439833526594158,0.00013346328180179827,-0.009975684889836306,-0.4771972236547806,110592,30.661134719848633,0.026655626,1.000744104385376,-0.4496680498123169,0.018529704539105296,0.2947998046875,155414,0.000299926272,0.2,64.05491638183594,-34.06306552886963
-0.20772592532138998,0.0,4445,29,-7.882708539536175e-08,0.0,-120.08773331999998,0.0,0.0,0.6498940160000001,-1.2874051749647848,-0.011017474561698614,0.01,0.0,0.027634492059943307,81.15,-0.3860222347622147,0.0,-0.5,-2.758253156989082e-05,7,-0.09948432256989223,-0.0002011214672861738,0.0,0.0,25.06912,-0.6353165761093289,-0.00028834829803089864,0.0,-0.4235502204357104,0.0,0.06655877910104444,0.0004608,-0.10025203798574275,-4.7345793601077e-06,-0.12237686986613275,8.626277687855893e-05,-0.00613081547836231,-0.5066714345897073,129024,25.465747833251953,0.064227134,1.0014451742172241,-0.9256093502044678,0.01342078469072779,0.3385009765625,155416,0.0002999115264,0.2,57.8939520517985,-34.07119878133138
-0.1981928489875106,0.0,4454,33,-9.563452508521666e-08,0.0,-120.83250917000005,0.0,0.0,0.649876352,-1.28805717144204,-0.01571431268859774,0.01,0.0,0.04084149286121281,84.49,-0.38995178532600444,0.0,-0.5,-3.348311432797551e-05,8,-0.10064476616480872,-0.00023933603577739075,0.0,0.0,25.08064,-0.632559424773841,-0.0009904920909589348,0.0,-0.4008301283742425,0.0,0.07278968498576346,0.0005376,-0.10065679103896606,-5.954408898762733e-06,-0.1308521177551965,0.0001193574021777345,-0.01003218280543293,-0.5136623891292341,147456,24.497756958007812,0.026516592,1.0013535022735596,-0.7182055711746216,0.01516097253188491,0.304736328125,155417,0.0002998967808,0.2,61.89860229492187,-34.07066955566406
-0.20249890881357138,0.0,4461,37,-9.46073323127239e-08,0.0,-121.71707656999997,0.0,0.0,0.649858688,-1.2852753562927193,-0.018111457258528904,0.01,0.0,0.01182181817048257,87.73,-0.4019450604120542,0.0,-0.5,-3.7938822490206546e-05,9,-0.09926174963262976,-0.0002776798933649379,0.0,0.0,25.09216,-0.6240675575466603,-0.003517562160393294,0.0,-0.42642166375976825,0.0,0.07274185542904157,0.0006144,-0.10026300077100052,-6.4502178896100125e-06,-0.13590944756726836,9.385830425243411e-05,-0.009761217807266158,-0.5163534518114313,165888,19.85176658630371,0.026247714,1.0016549825668335,-1.6169428825378418,0.018197067826986314,0.2958984375,155418,0.0002998820352,0.2,41.9220947265625,-34.07378616333008
-0.15395307728526098,0.0,4471,41,-1.1741309310553129e-07,0.0,-121.74290088999999,0.0,0.0,0.649841024,-1.2737674675879864,-0.022017122266940393,0.01,0.0,-0.04109368446814555,87.98,-0.39697845072712873,0.0,-0.5,-4.813586689198098e-05,10,-0.10540494549299878,-0.0003469844972587592,0.0,0.0,25.10368,-0.6345223012591865,-0.0033748064423667237,0.0,-0.39221175427760685,0.0,0.07332551700334528,0.0006912,-0.10086914776967709,-8.765685505217054e-06,-0.14475276238272747,0.0001318356791873359,-0.012700740745187164,-0.4350556833655261,184320,20.114898681640625,0.041610673,1.0014110803604126,-0.7125617265701294,0.02575421053916216,0.37567138671875,155419,0.0002998672896,0.2,42.90634727478027,-34.07120227813721
-0.13325645998224153,0.0,4475,45,-1.4053534448794245e-07,0.0,-123.01925808000001,0.0,0.0,0.6498233600000001,-1.273413823109075,-0.024901280458449852,0.01,0.0,-0.01940651325357744,93.1,-0.41170707758860897,0.0,-0.5,-5.552819056230479e-05,11,-0.10738105976688003,-0.0004040247934212577,0.0,0.0,25.1152,-0.6680655941861439,-0.0006199229419151976,0.0,-0.3860084039215415,0.0,0.06960127795825358,0.000768,-0.10090332296379241,-9.904884508020958e-06,-0.13143123517715694,0.00011121935030031536,-0.01251163753328644,-0.3738771724722852,202752,33.07725143432617,0.028124599,1.0008893013000488,-0.1580883264541626,0.013757454852263132,0.2903645833333333,155420,0.000299852544,0.2,68.31275939941406,-34.06531270345052
-0.11324669751776548,0.0,4476,49,-1.4723365162665132e-07,0.0,-121.87565574,0.0,0.0,0.649805696,-1.273904843420929,-0.030161366970296873,0.01,0.0,-0.09975054030061678,92.82,-0.41330322799483976,0.0,-0.5,-6.421774538807041e-05,12,-0.11049713556285026,-0.00045853546938763416,0.0,0.0,25.12672,-0.6624963868954823,-0.0023156587623419786,0.0,-0.38437866168450413,0.0,0.06587762773085633,0.0008448,-0.10121677116993384,-1.1679177337980429e-05,-0.11345063483054589,0.00023274701218017272,-0.010743583074236703,-0.28585669381175827,221184,26.203519821166992,0.06331625,1.0022172927856445,-0.2001328468322754,0.0073368768983831005,0.30419921875,155422,0.0002998377984,0.2,59.98403104146322,-34.08084678649902
-0.11051181538850506,0.0,4480,53,-1.56994374741479e-07,0.0,-123.01511804999998,0.0,0.0,0.649788032,-1.2552601964193828,-0.027696690879449076,0.01,0.0,-0.17592356025101488,93.59,-0.4182701295005503,0.0,-0.5,-6.84477132471959e-05,13,-0.11130412965881803,-0.0004988749814287825,0.0,0.0,25.13824,-0.6533775311737846,-0.004522623101274676,0.0,-0.3737280255147769,0.0,0.061369377037499485,0.0009216,-0.10085439837774152,-1.2243528592984384e-05,-0.1014414148019625,0.000260416156379506,-0.01094230707727057,-0.25103927589700725,239616,59.08660888671875,0.021060476,1.0011770725250244,0.4883212447166443,0.010882307833526284,0.24481201171875,155423,0.0002998230528,0.2,124.23897171020508,-34.068931579589844
-0.11047435685146273,0.0,4483,57,-1.5172970843504753e-07,0.0,-123.19783862000003,0.0,0.0,0.649770368,-1.26851019107511,-0.030955118782288363,0.01,0.0,-0.1120221848470807,97.72,-0.41864203253475085,0.0,-0.5,-7.640403135444917e-05,14,-0.11336260063997446,-0.0005543633617019294,0.0,0.0,25.14976,-0.6356551175282326,-0.00017639345738318122,0.0,-0.3909051695298705,0.0,0.0725016805472977,0.0009984,-0.10131891756557936,-1.3627200741019522e-05,-0.11691129918030455,0.0004226338124782261,-0.0109955552008177,-0.27232327781740573,258048,28.14808464050293,0.04458928,1.0022177696228027,0.16784369945526123,0.0005611496162600815,0.297943115234375,155425,0.00029980830719999996,0.2,78.28643417358398,-34.08223915100098
