reward_terms/duty_sym,reward_terms/coef_rate,rollout/ep_rew_mean,reward_terms/motor_vel,reward_terms/upright,curriculum/ctrl_jitter_ms,reward_terms/time,reward_terms/stop,reward_terms/ang_xy,reward_terms/overrun,curriculum/sprint_dist_m,curriculum/ctrl_drop_prob,reward_terms/vz,rollout/ep_len_mean,curriculum/ent_coef,reward_terms/stance,curriculum/eff_scale,reward_terms/fwd_speed,time/iterations,reward_terms/residual,time/total_timesteps,reward_terms/action_rate,reward_terms/torque,ankle/ankle_spring_trq_peak,reward_terms/air_time,time/fps,reward_terms/foot_slip,reward_terms/angmom,ankle/ankle_spring_energy_peak,curriculum/stance_ratio,time/time_elapsed,reward_terms/step_rate,reward_terms/residual_rate,reward_terms/alive,reward_terms/foot_ahead,ankle/ankle_defl_peak,reward_terms/assist_pen,reward_terms/phase_contact,reward_terms/hip_roll,reward_terms/clearance,reward_terms/lat_vel,reward_terms/stance_time,reward_terms/height,reward_terms/energy,train/clip_fraction,train/std,train/policy_gradient_loss,train/loss,train/clip_range,train/entropy_loss,train/learning_rate,train/explained_variance,train/approx_kl,train/n_updates,train/value_loss
0.0,-1.5807705972870396,-146.1490961685393,0.0,-0.052503689484567934,0.0,-0.5,0.0,-0.03889189974921491,0.0,25.0,0.0,-0.06201274265250514,185.40449438202248,0.01,-0.0023896170752484703,0.0,-1.085075217962917,1,-0.059923296571044594,18432,-0.21221757355341614,0.0,0.0,2.387143710317711e-05,3017,-0.2284942149503035,-0.09810044438399046,0.0,0.65,6,-0.002463107638888894,0.0,0.0,0.0,0.5183747555376218,0.0,-0.6329644772964602,-0.003976904822800708,0.00459148314144243,-2.0002018194831697e-09,-0.02037208625147792,-0.014686641540787708,0.0,,,,,,,,,,,
0.0,-1.5726226901872504,-147.99595079,-8.597490060217554e-09,-0.11345717132758705,0.0,-0.5,0.0,-0.049788352245016175,0.0,25.01152,0.0,-0.09811222622965768,192.75,0.01,-0.0023999069881787388,7.68e-05,-1.2713126088941376,2,-0.060283265101004,36864,-0.21286711306247671,-3.333290138713966e-06,0.0,8.300763632481296e-05,2900,-0.21291171063936037,-0.16498283348928391,0.0,0.649982336,12,-0.002495659722222228,0.0,0.0,0.0,0.5193458410965265,0.0,-0.6078239682102788,-0.004919040119192666,0.008871100124262706,-2.0995919808971493e-09,-0.025172555942036625,-0.025253956219204603,-9.669426226321822e-08,0.05421142578125,1.0022755861282349,-0.017643962788861246,229.86569213867188,0.2,-34.081270408630374,0.000299990784,-0.00730741024017334,0.0069805207,4,487.94893646240234
0.0,-1.5783998518188893,-146.70162119000003,-1.7221226604715534e-08,-0.061356517981976305,0.0,-0.5,0.0,-0.034387653849616485,0.0,25.02304,0.0,-0.07251232368212965,187.6,0.01,-0.0024540466231231274,0.0001536,-1.1617628483377782,3,-0.06046921517459377,55296,-0.21537447289220105,-6.854710989996708e-06,0.0,3.472209209576249e-05,3209,-0.24467562942568272,-0.1144354148378331,0.0,0.6499646720000001,17,-0.0023763020833333383,0.0,0.0,0.0,0.5192483687113176,0.0,-0.6400141831649298,-0.004643611538903004,0.0058745807071883295,-1.942137347584519e-09,-0.022298482987227745,-0.018382426967391726,-1.947295704615929e-07,0.034228515625,1.0022798776626587,-0.011165648768655955,228.9999542236328,0.2,-34.078661155700686,0.000299981568,0.21604180335998535,0.0069061816,8,508.80927734375
0.0,-1.5636687217697123,-147.77894092,-2.616753351393867e-08,-0.10842788857637155,0.0,-0.5,0.0,-0.04911536322103677,0.0,25.03456,0.0,-0.09116813687114352,191.8,0.01,-0.004575175338602968,0.0002304,-1.2467639673222108,4,-0.06052597675881567,73728,-0.21335941457461585,-1.035901581622184e-05,0.0,0.00010416643150771658,3383,-0.24479405098582158,-0.15437377777787958,0.0,0.649947008,21,-0.0027777777777777883,0.0,0.0,0.0,0.5187303596140694,0.0,-0.6150131293180908,-0.004700945915764811,0.008071856455906173,-2.1209288435025224e-09,-0.024863449125809386,-0.023491638839198175,-2.9708788350624085e-07,0.01875,1.0017799139022827,-0.009070558077655732,236.7724609375,0.2,-34.07559947967529,0.00029997235199999997,0.42935752868652344,0.004986664,12,471.5050109863281
0.0,-1.57566461371418,-148.44229649,-3.6222813415012e-08,-0.10983940118102305,0.0,-0.5,0.0,-0.04960314186345032,0.0,25.04608,0.0,-0.09433527863108608,194.55,0.01,-0.003374525848804543,0.0003072,-1.2498749585359465,5,-0.06002668899018245,92160,-0.2137797010948107,-1.2863924337860914e-05,0.0,8.246513445758157e-05,3501,-0.22793827979214573,-0.15464473654889593,0.0,0.649929344,26,-0.0024848090277777837,0.0,0.0,0.0,0.518497306288391,0.0,-0.6236271657766109,-0.004261676234348421,0.00705145355686437,-2.040753460114643e-09,-0.026808564764602732,-0.02413590591883014,-4.0446735361796877e-07,0.0270263671875,1.0019346475601196,-0.008854843559674919,237.3148956298828,0.2,-34.074440002441406,0.000299963136,0.5312535762786865,0.0059802323,16,458.5199478149414
0.0,-1.5751033934042562,-148.68471127,-4.716936879985153e-08,-0.11260016938585246,0.0,-0.5,0.0,-0.050884547455728873,0.0,25.0576,0.0,-0.09512889034945603,195.51,0.01,-0.004546336240123408,0.000384,-1.2541458793683495,6,-0.060314580696074364,110592,-0.21431292685459485,-1.6332607910259538e-05,0.0,9.982615786915024e-05,3589,-0.23118057264788938,-0.1588837711427405,0.0,0.64991168,30,-0.002756076388888898,0.0,0.0,0.0,0.5194597083068441,0.0,-0.616988503655015,-0.005073091396385138,0.009148178859682813,-2.2443201529136105e-09,-0.02431427013814553,-0.024578911381323548,-5.271867687904813e-07,0.03294677734375,1.0019348859786987,-0.01012840576004237,205.01409912109375,0.2,-34.07311325073242,0.00029995392,0.606836199760437,0.006494102,20,430.17984771728516
0.0,-1.569271935780851,-146.93391261,-5.479420493402338e-08,-0.07731480168326471,0.0,-0.5,0.0,-0.03895025380579758,0.0,25.06912,0.0,-0.07829721944802945,188.51,0.01,-0.00492595831444175,0.0004608,-1.23191016076229,7,-0.06030625081248023,129024,-0.2118090341740144,-2.110217636673997e-05,0.0,5.5880906681219734e-05,3650,-0.24379447442456648,-0.13064181457925547,0.0,0.6498940160000001,35,-0.0024197048611111164,0.0,0.0,0.0,0.5184826524672931,0.0,-0.6218389411208838,-0.004461815768158887,0.0070363463625390844,-2.417957748158895e-09,-0.02311621859391582,-0.02008550243796801,-6.12512689155523e-07,0.0356201171875,1.0015239715576172,-0.010022704838775098,211.5399627685547,0.2,-34.07086524963379,0.00029994470399999997,0.6461876630783081,0.0068385922,24,430.42911529541016
0.0,-1.5832294672520062,-147.13089403,-6.365950078739152e-08,-0.08510058518835721,0.0,-0.5,0.0,-0.04107981056291174,0.0,25.08064,0.0,-0.08372630487310578,189.39,0.01,-0.0044212539905112746,0.0005376,-1.212353917910979,8,-0.06055999090542216,147456,-0.2124673139884524,-2.277229968497469e-05,0.0,1.7361046047881246e-05,3704,-0.22586465943946987,-0.13401282041351395,0.0,0.649876352,39,-0.0025933159722222304,0.0,0.0,0.0,0.519300032613771,0.0,-0.636639916632213,-0.005052014298508885,0.00689435065562505,-2.081788252927548e-09,-0.02304134850985267,-0.021488268596588624,-7.0374018203617e-07,0.031982421875,1.0019795894622803,-0.01027986577246338,233.66917419433594,0.2,-34.07236251831055,0.000299935488,0.6724346876144409,0.006791917,28,442.6821044921875
0.0,-1.5769174033286548,-147.29685359999996,-7.179287652905981e-08,-0.08859782640750329,0.0,-0.5,0.0,-0.04243382821528566,0.0,25.09216,0.0,-0.09015093493253194,189.88,0.01,-0.0009291314024970795,0.0006144,-1.246405145961194,9,-0.0603572026968499,165888,-0.21189816638285416,-2.752138588095872e-05,0.0,5.4253323469311e-05,3739,-0.20646369409494716,-0.14247111086723147,0.0,0.649858688,44,-0.0024088541666666716,0.0,0.0,0.0,0.5193220887162946,0.0,-0.6211774920993451,-0.004529517519592853,0.0070611182851400955,-2.259124174763189e-09,-0.02467017073326537,-0.02309066072437556,-7.938109525029288e-07,0.02408447265625,1.0018285512924194,-0.009625266754301264,179.7086944580078,0.2,-34.07617702484131,0.000299926272,0.7151180505752563,0.0055827303,32,405.76717987060545
0.0,-1.5740056422135362,-148.01976576000004,-7.609555762169324e-08,-0.08611106442133477,0.0,-0.5,0.0,-0.03724647640659268,0.0,25.10368,0.0,-0.08383193507159087,192.93,0.01,-0.0019738825822123757,0.0006912,-1.2033373234566853,10,-0.06053824403330153,184320,-0.21398680547542773,-2.8979104449323673e-05,0.0,8.62628318524609e-05,3771,-0.20931180262783317,-0.1326144369238228,0.0,0.649841024,48,-0.0025065104166666725,0.0,0.0,0.0,0.5194146696232196,0.0,-0.6228854703155537,-0.003644931457412453,0.005561581831510314,-2.1038134297957424e-09,-0.024351703127548616,-0.021421344581006675,-8.521526596033809e-07,0.02489013671875,1.0015873908996582,-0.00941939236363396,182.57774353027344,0.2,-34.07193298339844,0.000299917056,0.7024480104446411,0.00579863,36,404.4620132446289
