reward_terms/hip_roll,ankle/ankle_spring_trq_peak,curriculum/swing_frac_mean,reward_terms/air_time,curriculum/dr_scale,reward_terms/fwd_speed,reward_terms/torque,reward_terms/time,reward_terms/phase_contact,reward_terms/assist_pen,time/iterations,rollout/ep_len_mean,reward_terms/stand_drift,reward_terms/vz,reward_terms/residual_rate,ankle/ankle_defl_peak,reward_terms/height,reward_terms/ang_xy,curriculum/stance_ratio,curriculum/eff_scale,reward_terms/foot_ahead,reward_terms/residual,ankle/ankle_spring_energy_peak,curriculum/cmd_scale,reward_terms/track_lin,time/total_timesteps,reward_terms/stop,reward_terms/stand,curriculum/ctrl_jitter_ms,reward_terms/step_rate,time/fps,curriculum/swing_frac_min,curriculum/cmd_track_err,time/time_elapsed,reward_terms/action_rate,reward_terms/stance_time,reward_terms/angmom,curriculum/ctrl_drop_prob,est/vel_rmse,reward_terms/clearance,reward_terms/duty_sym,curriculum/ent_coef,reward_terms/track_yaw,reward_terms/stance,reward_terms/motor_vel,reward_terms/energy,reward_terms/coef_rate,reward_terms/upright,reward_terms/alive,reward_terms/lat_vel,rollout/ep_rew_mean,reward_terms/foot_slip,reward_terms/overrun,train/approx_kl,train/policy_gradient_loss,train/std,train/loss,train/n_updates,train/value_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/entropy_loss,train/learning_rate,curriculum/dr_scale_progress,curriculum/ctrl_jitter_ms_progress,curriculum/ctrl_drop_prob_progress,curriculum/stance_ratio_progress,curriculum/eff_scale_progress
-0.056933824805471885,0.0,0.1797146267361111,0.0,0.0,0.0,0.0,0.0,-0.039149400074426195,0.0,1,104.87,-0.012022187941196283,-0.04666873432153899,0.0,0.505200113027017,-0.005314277531216908,-0.10116403448626557,0.7,0.0,0.0,-0.09592737912991262,0.0,0.0,1.6195314990516703,18432,0.0,0.7025035729052074,0.0,-0.005013020833333375,9368,0.0915256076388889,0.5353634605540184,1,-0.08303970039782221,0.0,-0.0710524855880342,0.0,0.960127667590601,0.008782805836225031,0.0,0.01,1.630523103222228,-0.05173694287489074,0.0,0.0,-0.629070607621894,-0.21841608012861266,0.0,-0.07639536239128474,-61.53268184,-0.6316263373094365,0.0,,,,,,,,,,,,,,,,
-0.04063897038907902,0.0,0.14640299479166666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,156.31,-0.029204660896674808,-0.04513320021085896,0.0,0.5051916920283485,-0.005699988624978606,-0.07694024558564494,0.7,0.0,0.0,-0.09695813594089354,0.0,0.0,1.7548572126605626,36864,0.0,0.622810857410659,0.0,-0.004101562500000029,9201,0.06684027777777778,0.3460769619419954,4,-0.08696996066429054,0.0,-0.06643281374173676,0.0,0.889015382882512,0.0,0.0,0.01,1.580848120292845,-0.0395024151119145,0.0,0.0,-0.5878104648558807,-0.30674502508419543,0.0,-0.14330042138422183,-5.3006575,-0.38326493410434626,0.0,0.024246244,0.003059867199044675,0.998043417930603,583.2455444335938,56395,1626.6185791015625,0.25233154296875,0.8801826238632202,0.2,-36.83096332550049,0.00029995392,,,,,
-0.035528443232538426,0.0,0.12437608506944445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,146.34,-0.0161711046210716,-0.024885966719522555,0.0,0.5051718290340109,-0.0027307271219130726,-0.06676205720719533,0.7,0.0,0.0,-0.09776300654095987,0.0,0.0,1.8343291920985472,55296,0.0,0.6587582561194484,0.0,-0.0038953993055555816,8804,0.06141493055555555,0.3111644541126569,6,-0.08231567949253643,0.0,-0.05010139718496784,0.0,0.51286952374087,0.0,0.0,0.01,1.6607881002806666,-0.02230261389015703,0.0,0.0,-0.586386826015731,-0.24614989060397732,0.0,-0.09681091805538333,-4.248140269999999,-0.356683163165447,0.0,0.021642447,-0.004283550207037479,0.9986389875411987,422.9908142089844,56399,1246.4798126220703,0.23189697265625,0.9141888618469238,0.2,-36.8445707321167,0.00029990784,,,,,
-0.03881616855106281,0.0,0.1301540798611111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,153.24,-0.013851985996023252,-0.021703221011051307,0.0,0.5050722016638132,-0.001889873947560277,-0.06921249172931561,0.7,0.0,0.0,-0.09804685222433057,0.0,0.0,1.872956125886677,73728,0.0,0.6422367097461663,0.0,-0.004155815972222251,8289,0.05539279513888889,0.26993866300106206,8,-0.07966556396457794,0.0,-0.045757778296155543,0.0,0.4228414838263726,0.0,0.0,0.01,1.6585577026159402,-0.021703079262124413,0.0,0.0,-0.5832887571382372,-0.23336993958629837,0.0,-0.08563463909640896,5.162222339999996,-0.37362841854952256,0.0,0.016542602,-0.003711203986313194,0.9989486932754517,578.5197143554688,56403,1484.592840576172,0.17708740234375,0.9206713438034058,0.2,-36.85382080078125,0.00029986176,,,,,
-0.03764235573130749,0.0,0.12494574652777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,164.11,-0.015763157620072486,-0.022767402107775378,0.0,0.5051798170526064,-0.002668501185895874,-0.06365144426591413,0.7,0.0,0.0,-0.09878755756198301,0.0,0.0,1.8617532393665437,92160,0.0,0.6391558385622598,0.0,-0.003667534722222245,7850,0.038140190972222224,0.2710147245632081,11,-0.08093386830882318,0.0,-0.04207510373645904,0.0,0.4186369109818523,0.0,0.0,0.01,1.6453531617190384,-0.024663198310988094,0.0,0.0,-0.5613230427556579,-0.2497611860254687,0.0,-0.0933393234550852,3.7002085099999986,-0.31814975346446617,0.0,0.017545909,-0.0028007062617689373,0.9991639256477356,531.7188110351562,56407,1364.5282104492187,0.19046630859375,0.9149139523506165,0.2,-36.85950202941895,0.00029981568,,,,,
-0.041561552768731504,0.0,0.12947591145833334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,171.13,-0.015280489945998165,-0.02109559558353379,0.0,0.505209292362392,-0.0023445274681546256,-0.06307613327582462,0.7,0.0,0.0,-0.09928902899497652,0.0,0.0,1.8791068331730574,110592,0.0,0.523567402661747,0.0,-0.0037977430555555802,7538,0.020779079861111112,0.28681463764641774,14,-0.07731829109561428,0.0,-0.03785877712914038,0.0,0.3754938172327904,0.0,0.0,0.01,1.612942409978336,-0.023366402243227932,0.0,0.0,-0.5486193381241508,-0.2752669410669831,0.0,-0.100129958681813,13.283511749999995,-0.3214792694770725,0.0,0.011798376,-0.007860358589095996,0.9993778467178345,521.0472412109375,56411,1133.4766510009765,0.12738037109375,0.9287551641464233,0.2,-36.86467380523682,0.00029976959999999996,,,,,
-0.03413638656931193,0.0,0.10997178819444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,186.43,-0.02196091943399275,-0.022259002581188812,0.0,0.5051781258686856,-0.0028140929117226082,-0.05987608675176513,0.7,0.0,0.0,-0.09931355626201523,0.0,0.0,1.8949304398670388,129024,0.0,0.5655409277048935,0.0,-0.0031358506944444598,7225,0.023003472222222224,0.25638564527528607,17,-0.079414888873945,0.0,-0.03706942745790645,0.0,0.35430676363400887,0.0,0.0,0.01,1.5832137089647662,-0.02206707052126897,0.0,0.0,-0.541335385266048,-0.3125168675713417,0.0,-0.12415128106853818,15.923682649999996,-0.29239242983266983,0.0,0.010687624,-0.008032463473500683,0.9993079304695129,446.4749450683594,56415,997.7884490966796,0.0940673828125,0.9257598519325256,0.2,-36.86545963287354,0.00029972352,,,,,
-0.03553630485991202,0.0,0.11040581597222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,185.02,-0.01896960738565205,-0.018639563766158877,0.0,0.5049687523597411,-0.002189277652936615,-0.05612472416836288,0.7,0.0,0.0,-0.09984760387401516,0.0,0.0,1.7888110403324602,147456,0.0,0.6035129624529136,0.0,-0.0032226562500000163,7040,0.024251302083333332,0.2957932611857613,20,-0.07709587828719583,0.0,-0.038174602671237325,0.0,0.33608319206094517,0.0,0.0,0.01,1.6168665393153059,-0.03159456360781291,0.0,0.0,-0.534109852157267,-0.2928744868117929,0.0,-0.11283980247641517,16.143923289999996,-0.29111648518166505,0.0,0.011733254,-0.011611916060792283,0.9995884299278259,324.6053161621094,56419,870.4465637207031,0.115966796875,0.9306793212890625,0.2,-36.868269538879396,0.00029967744,,,,,
-0.036091310134733975,0.0,0.11092122395833334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,199.76,-0.01903474163353845,-0.01965089367730776,0.0,0.5052111894694455,-0.0023078381060674825,-0.060924123935548656,0.7,0.0,0.0,-0.0997149733531595,0.0,0.0,1.8102117348742293,165888,0.0,0.5854447952927448,0.0,-0.003266059027777795,6902,0.024848090277777776,0.3076435605733498,24,-0.07823701432498718,0.0,-0.03869189360204173,0.0,0.35790368213496787,0.0,0.0,0.01,1.5808241324570362,-0.031636987278944415,0.0,0.0,-0.5312274900135237,-0.2957963813692069,0.0,-0.11566258255343831,29.24644698,-0.29667862686863056,0.0,0.011546236,-0.010481020715087653,0.9996486902236938,360.73089599609375,56423,866.4821502685547,0.11881103515625,0.9316086173057556,0.2,-36.87095603942871,0.00029963136,,,,,
-0.04415257651283336,0.0,0.11268446180555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,195.66,-0.01601410857064234,-0.01801755537469485,0.0,0.5051262846831838,-0.002213120431699814,-0.05870404346422943,0.7,0.0,0.0,-0.10024968224960193,0.0,0.0,1.8995208509626518,184320,0.0,0.6428722410973273,0.0,-0.0029079861111111233,6803,0.016547309027777776,0.28179014440894956,27,-0.07569610310161512,0.0,-0.03197546307001123,0.0,0.32249392890021056,0.0,0.0,0.01,1.621212793457913,-0.03855204628974093,0.0,0.0,-0.524776695883844,-0.28278440221557866,0.0,-0.09220511579125346,28.109602350000003,-0.2809571188788292,0.0,0.011401335,-0.011569932757993229,0.9998112916946411,280.40985107421875,56427,722.6624053955078,0.1229248046875,0.9328755140304565,0.2,-36.87203712463379,0.00029958527999999996,,,,,
