reward_terms/energy,reward_terms/ang_xy,reward_terms/stance_time,reward_terms/action_rate,curriculum/ctrl_drop_prob,reward_terms/fwd_speed,reward_terms/foot_slip,rollout/ep_len_mean,reward_terms/hip_roll,reward_terms/alive,rollout/ep_rew_mean,reward_terms/stop,time/fps,reward_terms/lat_vel,reward_terms/angmom,reward_terms/clearance,reward_terms/height,time/time_elapsed,curriculum/stance_ratio,reward_terms/air_time,reward_terms/residual_rate,time/total_timesteps,curriculum/sprint_dist_m,reward_terms/time,reward_terms/step_rate,curriculum/ctrl_jitter_ms,reward_terms/assist_pen,reward_terms/vz,curriculum/ent_coef,reward_terms/torque,time/iterations,reward_terms/residual,reward_terms/upright,curriculum/eff_scale,reward_terms/foot_ahead,reward_terms/stance,reward_terms/coef_rate,reward_terms/overrun,reward_terms/motor_vel,reward_terms/phase_contact,train/entropy_loss,train/std,train/loss,train/value_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/learning_rate
-1.3020876463825181e-05,-9.946935457030061e-06,-0.025142202444840223,-0.13229447553720702,0.0,-1.7538105159768103,-0.5894813686277669,377.85,-0.008362255669114766,0.0,-194.11334351000002,0.0,3976,-3.9538820461265096e-08,0.0,0.04786295270745336,-0.053818632634974696,50,0.6498233600000001,0.0,0.0,202752,25.1152,-0.5,0.0,0.0,0.0,-0.19331556571060762,0.01,-0.00016131877299081787,11,-0.061584140416378136,-7.442080649146114e-08,0.000768,0.0,-0.00013922983882807652,-1.2970781213602047,0.0,-1.327179406688257e-06,-0.4928521180374264,-19.88099536895752,1.0024266242980957,71.05931091308594,171.32314758300782,0.2,0.0025826187,0.0038818359375,0.6184818744659424,-0.005403107398888096,40,0.00029990784
-1.4709434726667966e-05,-1.0105705706392018e-05,-0.027611546666270845,-0.1308752462905839,0.0,-1.8285635778262785,-0.6124277227523923,380.99,-0.00877978591744455,0.0,-194.91461377000005,0.0,3998,-4.107011886708567e-08,0.0,0.049499614169718674,-0.05373527684188294,55,0.649805696,0.0,0.0,221184,25.12672,-0.5,0.0,0.0,0.0,-0.19090850339304424,0.01,-0.00018430330576952342,12,-0.061565581768409344,-7.688165173118938e-08,0.0008448,0.0,-1.259043418003805e-07,-1.2996106051801632,0.0,-1.4885069910233373e-06,-0.481460871456009,-19.878735637664796,1.0020102262496948,75.82542419433594,170.0128646850586,0.2,0.0030205469,0.00548095703125,0.6167165040969849,-0.005747896223329008,44,0.000299898624
-1.5837727521100317e-05,-9.898718075791378e-06,-0.042964164478083454,-0.12996461075860774,0.0,-1.797261140691492,-0.6106047727822588,388.26,-0.009271431637793991,0.0,-196.71163490999996,0.0,4015,-3.955726969671137e-08,0.0,0.04880039792487844,-0.0533397831339123,59,0.649788032,0.0,0.0,239616,25.13824,-0.5,0.0,0.0,0.0,-0.19440061267522732,0.01,-0.00019486886626312837,13,-0.0615753616690804,-7.35784782752048e-08,0.0009216,0.0,-3.917641612919807e-05,-1.2857650021472669,0.0,-1.6232063633132377e-06,-0.49385406837979356,-19.87527389526367,1.0014398097991943,60.01134490966797,153.39420890808105,0.2,0.002745817,0.00396728515625,0.5964983701705933,-0.0048773465328849856,48,0.00029988940799999996
-1.7724251897280783e-05,-1.0229528651382857e-05,-0.04951174925049094,-0.13012192409363732,0.0,-1.8388313731822181,-0.62972052533707,387.44,-0.009436532123246175,0.0,-196.47840619,0.0,4031,-3.963491793822983e-08,0.0,0.047359172448210446,-0.050367435573075686,64,0.649770368,0.0,0.0,258048,25.14976,-0.5,0.0,0.0,0.0,-0.18563088813926595,0.01,-0.0002191950376619485,14,-0.06145068350323693,-7.746676559185653e-08,0.0009984,0.0,-0.0005927179686543605,-1.3006705823966955,0.0,-1.7724533148610499e-06,-0.49610514264378175,-19.874669456481932,1.0015132427215576,69.58834838867188,150.69275360107423,0.2,0.0029181466,0.005029296875,0.5769112706184387,-0.005383979348698631,52,0.000299880192
-1.8067719405716332e-05,-1.0002523791679868e-05,-0.049500206330170236,-0.12991818365648522,0.0,-1.6802645520622506,-0.5935717842336026,391.36,-0.008022472286348253,0.0,-197.47220384999997,0.0,4044,-3.8605509394926664e-08,0.0,0.0461334087839118,-0.05032331573877348,68,0.6497527040000001,0.0,0.0,276480,25.16128,-0.5,0.0,0.0,0.0,-0.1808015877513286,0.01,-0.00022465309786087417,15,-0.06158601132674611,-7.309484680647052e-08,0.0010752,0.0,-1.5162260994997051e-05,-1.3134967984257728,0.0,-1.836191993845152e-06,-0.506093817277813,-19.876509857177734,1.001790165901184,66.79096984863281,134.3298656463623,0.2,0.0036131528,0.0077880859375,0.5149837136268616,-0.006588040618225932,56,0.000299870976
-1.9330537166208442e-05,-1.010330740003782e-05,-0.06683904652406152,-0.13115294708849143,0.0,-1.7333458601776686,-0.6189194226298382,394.28,-0.0078042967090650155,0.0,-198.20523974,0.0,4056,-4.0011574039532144e-08,0.0,0.046263612381671884,-0.05061882562518878,72,0.64973504,0.0,0.0,294912,25.1728,-0.5,0.0,0.0,0.0,-0.18532287525452423,0.01,-0.00024397062887352163,16,-0.06172172629584008,-7.460521000240399e-08,0.001152,0.0,-1.700911603771099e-05,-1.3061733689574337,0.0,-1.9420256369087067e-06,-0.5038459297419133,-19.878638076782227,1.002101182937622,61.677490234375,130.4284469604492,0.2,0.0040509,0.0100830078125,0.500041663646698,-0.006791647855425254,60,0.00029986176
-2.0954546772634377e-05,-9.799813531915038e-06,-0.040850995173160404,-0.13110994483702876,0.0,-1.8141842319239474,-0.6044383833357938,393.75,-0.009012941265976682,0.0,-198.07117016000004,0.0,4066,-4.04655457233633e-08,0.0,0.05052936986668174,-0.05432986706515495,77,0.649717376,0.0,0.0,313344,25.18432,-0.5,0.0,0.0,0.0,-0.19269373335723972,0.01,-0.00027049757579695983,17,-0.06171991223408806,-7.462975027707548e-08,0.0012288,0.0,-0.0015901158698626283,-1.3052989317298784,0.0,-2.056292406879771e-06,-0.4911328432748647,-19.878339290618896,1.0019512176513672,57.9139289855957,119.12761688232422,0.2,0.0037121545,0.00845947265625,0.43133842945098877,-0.005980193219147623,64,0.000299852544
-2.246829988327262e-05,-9.866719195362488e-06,-0.036890497718963564,-0.13090288249532459,0.0,-1.7852093313135282,-0.6207837337842675,391.51,-0.008303274462053528,0.0,-197.51699154,0.0,4077,-4.046139228821779e-08,0.0,0.04587510876422948,-0.04994339268101501,81,0.649699712,0.0,0.0,331776,25.19584,-0.5,0.0,0.0,0.0,-0.17974543541363955,0.01,-0.00028053882434350046,18,-0.06171360201291514,-7.509903416118682e-08,0.0013056,0.0,-2.3854352559838534e-05,-1.294034176640363,0.0,-2.232905589382156e-06,-0.5002168644498157,-19.87575159072876,1.001579761505127,42.82319259643555,114.27959098815919,0.2,0.0037289653,0.00897216796875,0.385800838470459,-0.00676058956887573,68,0.000299843328
-2.2687424350946873e-05,-9.543359380024175e-06,-0.04733196406838639,-0.1308935532514493,0.0,-1.7530806735942621,-0.5588035974725292,393.08,-0.008532271771387467,0.0,-197.90002329000004,0.0,4086,-3.883139262385994e-08,0.0,0.04997911283924659,-0.05453384158103814,85,0.6496820480000001,0.0,0.0,350208,25.20736,-0.5,0.0,0.0,0.0,-0.19117686423732025,0.01,-0.00029101558013629723,19,-0.061652238222346556,-7.212580492730689e-08,0.0013824,0.0,-1.7994182764060048e-05,-1.2850761192673053,0.0,-2.2322778635467403e-06,-0.4933589120975983,-19.877680110931397,1.00209641456604,50.62037658691406,102.40181579589844,0.2,0.0045591593,0.0138671875,0.3368288278579712,-0.007520625356119126,72,0.000299834112
-2.3824641233165586e-05,-1.0141959704767618e-05,-0.058511547647261374,-0.1302154521296955,0.0,-1.7090929309426084,-0.5773104541776599,398.63,-0.00784017994971873,0.0,-199.28046159000002,0.0,4095,-3.848206274680925e-08,0.0,0.04681663538198214,-0.05114484979312714,90,0.649664384,0.0,0.0,368640,25.21888,-0.5,0.0,0.0,0.0,-0.18276946535196303,0.01,-0.00030382509231566946,20,-0.06169798311891238,-7.071109906841794e-08,0.0014592,0.0,-1.8891569073038474e-05,-1.2891296000587067,0.0,-2.3382367512755084e-06,-0.5057018631315695,-19.881838512420654,1.0025690793991089,46.47150421142578,106.22891197204589,0.2,0.0042031286,0.01094970703125,0.32886964082717896,-0.006614686909597367,76,0.00029982489599999996
